"Journal Data Filtered By:  Selected Categories: SOCIOLOGY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"Annual Review of Sociology","ANNU REV SOCIOL","ANNUAL REVIEWS","0360-0572","1545-2115","SOCIOLOGY","SSCI","16,679","9","Q1","4.13","62.65"%,
"ANNALS OF TOURISM RESEARCH","ANN TOURISM RES","PERGAMON-ELSEVIER SCIENCE LTD","0160-7383","1873-7722","SOCIOLOGY","SSCI","18,474","7.8","Q1","2.99","33.24"%,
"SOCIOLOGICAL METHODS & RESEARCH","SOCIOL METHOD RES","SAGE PUBLICATIONS INC","0049-1241","1552-8294","SOCIOLOGY","SSCI","8,621","6.5","Q1","2.9","27.42"%,
"AMERICAN SOCIOLOGICAL REVIEW","AM SOCIOL REV","SAGE PUBLICATIONS INC","0003-1224","1939-8271","SOCIOLOGY","SSCI","24,369","6.2","Q1","3.72","29.36"%,
"SOCIOLOGICAL THEORY","SOCIOL THEOR","SAGE PUBLICATIONS INC","0735-2751","1467-9558","SOCIOLOGY","SSCI","3,954","5","Q1","2.5","18"%,
"POPULATION AND DEVELOPMENT REVIEW","POPUL DEV REV","WILEY","0098-7921","1728-4457","SOCIOLOGY","SSCI","6,014","4.8","Q1","2.19","54.88"%,
"ECONOMY AND SOCIETY","ECON SOC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0308-5147","1469-5766","SOCIOLOGY","SSCI","3,221","4.3","Q1","1.36","50.6"%,
"WORK EMPLOYMENT AND SOCIETY","WORK EMPLOY SOC","SAGE PUBLICATIONS LTD","0950-0170","1469-8722","SOCIOLOGY","SSCI","4,823","3.8","Q1","1.22","59.32"%,
"WORK AND OCCUPATIONS","WORK OCCUPATION","SAGE PUBLICATIONS INC","0730-8884","1552-8464","SOCIOLOGY","SSCI","1,794","3.7","Q1","1.93","33.82"%,
"SOCIOLOGIA RURALIS","SOCIOL RURALIS","WILEY","0038-0199","1467-9523","SOCIOLOGY","SSCI","2,853","3.7","Q1","1.48","70"%,
"AMERICAN JOURNAL OF SOCIOLOGY","AM J SOCIOL","UNIV CHICAGO PRESS","0002-9602","1537-5390","SOCIOLOGY","SSCI","21,533","3.6","Q1","1.99","0"%,
