"Journal Data Filtered By:  Selected Categories: ANTHROPOLOGY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"JOURNAL OF PEASANT STUDIES","J PEASANT STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0306-6150","1743-9361","ANTHROPOLOGY","SSCI","5,731","5","Q1","2.23","31.75"%,
"JOURNAL OF ARCHAEOLOGICAL RESEARCH","J ARCHAEOL RES","SPRINGER","1059-0161","1573-7756","ANTHROPOLOGY","SSCI","1,020","4.1","Q1","3.25","42.42"%,
"JOURNAL OF WORLD PREHISTORY","J WORLD PREHIST","SPRINGER","0892-7537","1573-7802","ANTHROPOLOGY","SSCI","833","3.1","Q1","2.64","73.91"%,
"JOURNAL OF HUMAN EVOLUTION","J HUM EVOL","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","0047-2484","1095-8606","ANTHROPOLOGY","SSCI","7,834","3.1","Q1","1.59","21.4"%,
"EVOLUTIONARY ANTHROPOLOGY","EVOL ANTHROPOL","WILEY","1060-1538","1520-6505","ANTHROPOLOGY","SSCI","2,070","3.1","Q1","1.49","23.73"%,
"JOURNAL OF ARCHAEOLOGICAL METHOD AND THEORY","J ARCHAEOL METHOD TH","SPRINGER","1072-5369","1573-7764","ANTHROPOLOGY","SSCI","2,023","2.8","Q1","2.15","53.85"%,
"RACE & CLASS","RACE CLASS","SAGE PUBLICATIONS LTD","0306-3968","1741-3125","ANTHROPOLOGY","SSCI","1,158","2.8","Q1","1.22","38.1"%,
"Anthropology Today","ANTHROPOL TODAY","WILEY","0268-540X","1467-8322","ANTHROPOLOGY","ESCI","774","2.8","Q1","1.15","53.01"%,
"Annual Review of Anthropology","ANNU REV ANTHROPOL","ANNUAL REVIEWS","0084-6570","1545-4290","ANTHROPOLOGY","SSCI","6,062","2.7","Q1","1.41","54.22"%,
"Transcultural Psychiatry","TRANSCULT PSYCHIATRY","SAGE PUBLICATIONS LTD","1363-4615","1461-7471","ANTHROPOLOGY","SSCI","2,548","2.7","Q1","1","27.33"%,
"Journal of Paleolithic Archaeology","J PALEOLITH ARCHAEOL","SPRINGERNATURE","N/A","2520-8217","ANTHROPOLOGY","ESCI","392","2.6","Q1","1.8","64.84"%,
"JOURNAL OF ARCHAEOLOGICAL SCIENCE","J ARCHAEOL SCI","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","0305-4403","1095-9238","ANTHROPOLOGY","SSCI","14,383","2.5","Q1","1.67","42.35"%,
"SOCIAL NETWORKS","SOC NETWORKS","ELSEVIER","0378-8733","1879-2111","ANTHROPOLOGY","SSCI","6,786","2.4","Q1","1.74","41.62"%,
"Evolutionary Human Sciences","EVOL HUM SCI","CAMBRIDGE UNIV PRESS","N/A","2513-843X","ANTHROPOLOGY","ESCI","556","2.3","Q1","1.1","100"%,
"Journal of Anthropological Sciences","J ANTHROPOL SCI","IST ITALIANO ANTROPOLOGIA","1827-4765","2037-0644","ANTHROPOLOGY","SSCI","334","2.3","Q1","1.1","0"%,
"JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY","J ANTHROPOL ARCHAEOL","ACADEMIC PRESS INC ELSEVIER SCIENCE","0278-4165","1090-2686","ANTHROPOLOGY","SSCI","2,624","2.2","Q1","1.63","30.43"%,
"Feminist Anthropology","FEM ANTHROPOL","WILEY","2643-7961","2643-7961","ANTHROPOLOGY","ESCI","259","2.2","Q1","1.44","35.53"%,
"GLOBAL NETWORKS-A JOURNAL OF TRANSNATIONAL AFFAIRS","GLOBAL NETW","WILEY","1470-2266","1471-0374","ANTHROPOLOGY","SSCI","2,105","2.2","Q1","1.3","55.63"%,
"HUMAN NATURE-AN INTERDISCIPLINARY BIOSOCIAL PERSPECTIVE","HUM NATURE-INT BIOS","SPRINGER","1045-6767","1936-4776","ANTHROPOLOGY","SSCI","1,824","2.2","Q1","1.1","52.38"%,
"AMERICAN ETHNOLOGIST","AM ETHNOL","WILEY","0094-0496","1548-1425","ANTHROPOLOGY","SSCI","3,724","2","Q1","1.5","53.13"%,
