"Journal Data Filtered By:  Selected Categories: ECONOMICS Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"Energy Economics","ENERG ECON","ELSEVIER","0140-9883","1873-6181","ECONOMICS","SSCI","53,243","14.2","Q1","4.59","22.01"%,
"QUARTERLY JOURNAL OF ECONOMICS","Q J ECON","OXFORD UNIV PRESS INC","0033-5533","1531-4650","ECONOMICS","SSCI","40,723","12.7","Q1","4.5","19.86"%,
"JOURNAL OF FINANCIAL ECONOMICS","J FINANC ECON","ELSEVIER SCIENCE SA","0304-405X","N/A","ECONOMICS","SSCI","54,554","12","Q1","3.18","20.45"%,
"AMERICAN ECONOMIC REVIEW","AM ECON REV","AMER ECONOMIC ASSOC","0002-8282","1944-7981","ECONOMICS","SSCI","74,985","11.6","Q1","3.28","1.25"%,
"Annual Review of Economics","ANNU REV ECON","ANNUAL REVIEWS","1941-1383","1941-1391","ECONOMICS","SSCI","4,469","11.4","Q1","2.26","63.1"%,
"Oeconomia Copernicana","OECON COPERNIC","INST BADAN GOSPODARCZYCH","2083-1277","2353-1827","ECONOMICS","SSCI","1,237","10.8","Q1","2.98","99.09"%,
"NBER Macroeconomics Annual","NBER MACROECON ANNU","UNIV CHICAGO PRESS","0889-3365","1537-2642","ECONOMICS","SSCI","876","10.7","Q1","2.54","0"%,
"JOURNAL OF ECONOMIC LITERATURE","J ECON LIT","AMER ECONOMIC ASSOC","0022-0515","2328-8175","ECONOMICS","SSCI","12,794","10.6","Q1","3.52","0"%,
"JOURNAL OF FINANCE","J FINANC","WILEY","0022-1082","1540-6261","ECONOMICS","SSCI","50,071","9.5","Q1","2.72","17.23"%,
"Energy Policy","ENERG POLICY","ELSEVIER SCI LTD","0301-4215","1873-6777","ECONOMICS","SSCI","68,208","9.2","Q1","2.09","33.62"%,
"ECONOMIC GEOGRAPHY","ECON GEOGR","TAYLOR & FRANCIS LTD","0013-0095","1944-8287","ECONOMICS","SSCI","4,944","8.9","Q1","2.06","39.62"%,
"JOURNAL OF ECONOMIC PERSPECTIVES","J ECON PERSPECT","AMER ECONOMIC ASSOC","0895-3309","1944-7965","ECONOMICS","SSCI","20,002","8.8","Q1","2.48","87.2"%,
"TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW","TRANSPORT RES E-LOG","PERGAMON-ELSEVIER SCIENCE LTD","1366-5545","1878-5794","ECONOMICS","SSCI","20,266","8.8","Q1","2.03","12.9"%,
"Economic Analysis and Policy","ECON ANAL POLICY","ELSEVIER","0313-5926","0313-5926","ECONOMICS","SSCI","8,852","8.7","Q1","2.96","12.72"%,
"Review of Finance","REV FINANC","OXFORD UNIV PRESS","1572-3097","1573-692X","ECONOMICS","SSCI","4,778","8.4","Q1","2.04","22.15"%,
"Annual Review of Resource Economics","ANNU REV RESOUR ECON","ANNUAL REVIEWS","1941-1340","1941-1359","ECONOMICS","SSCI","2,316","8.4","Q1","1.3","56.16"%,
"ECONOMETRICA","ECONOMETRICA","WILEY","0012-9682","1468-0262","ECONOMICS","SSCI","43,246","7.1","Q1","2.75","12.5"%,
"INTERNATIONAL JOURNAL OF FORECASTING","INT J FORECASTING","ELSEVIER","0169-2070","1872-8200","ECONOMICS","SSCI","9,948","7.1","Q1","2.18","35.69"%,
"Borsa Istanbul Review","BORSA ISTANB REV","ELSEVIER","2214-8450","2214-8469","ECONOMICS","SSCI","2,947","7.1","Q1","2.15","100"%,
"Econometrics Journal","ECONOMET J","OXFORD UNIV PRESS","1368-4221","1368-423X","ECONOMICS","SSCI","2,274","7","Q1","1.44","18.18"%,
"Asian Economic Policy Review","ASIAN ECON POLICY R","WILEY","1832-8105","1748-3131","ECONOMICS","SSCI","605","7","Q1","1.41","25.71"%,
"REVIEW OF ECONOMICS AND STATISTICS","REV ECON STAT","MIT PRESS","0034-6535","1530-9142","ECONOMICS","SSCI","21,497","6.8","Q1","2.42","11.29"%,
"JOURNAL OF ACCOUNTING & ECONOMICS","J ACCOUNT ECON","ELSEVIER","0165-4101","1879-1980","ECONOMICS","SSCI","16,521","6.8","Q1","1.87","15.07"%,
"TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE","TRANSPORT RES A-POL","PERGAMON-ELSEVIER SCIENCE LTD","0965-8564","1879-2375","ECONOMICS","SSCI","24,017","6.8","Q1","1.69","35.37"%,
"American Economic Review-Insights","AM ECON REV INSIGHTS","AMER ECONOMIC ASSOC","2640-205X","2640-2068","ECONOMICS","SSCI","1,400","6.7","Q1","2.18","0"%,
"Review of Environmental Economics and Policy","REV ENV ECON POLICY","UNIV CHICAGO PRESS","1750-6816","1750-6824","ECONOMICS","SSCI","2,428","6.6","Q1","1.89","3.51"%,
"REVIEW OF ECONOMIC STUDIES","REV ECON STUD","OXFORD UNIV PRESS","0034-6527","1467-937X","ECONOMICS","SSCI","20,521","6.4","Q1","1.93","20.57"%,
"European Research on Management and Business Economics","EUR RES MANAG BUS EC","ELSEVIER SCI LTD","2444-8834","2444-8842","ECONOMICS","SSCI","1,212","6.4","Q1","1.71","98.81"%,
"ECONOMIC POLICY","ECON POLICY","OXFORD UNIV PRESS","0266-4658","1468-0327","ECONOMICS","SSCI","2,055","6.4","Q1","1.68","35.48"%,
"JOURNAL OF POLITICAL ECONOMY","J POLIT ECON","UNIV CHICAGO PRESS","0022-3808","1537-534X","ECONOMICS","SSCI","32,443","6.3","Q1","2.08","4.08"%,
"Journal of Transport Geography","J TRANSP GEOGR","ELSEVIER SCI LTD","0966-6923","1873-1236","ECONOMICS","SSCI","16,756","6.3","Q1","1.88","31.87"%,
"ECOLOGICAL ECONOMICS","ECOL ECON","ELSEVIER","0921-8009","1873-6106","ECONOMICS","SSCI","35,499","6.3","Q1","1.57","45.45"%,
"TRANSPORTATION RESEARCH PART B-METHODOLOGICAL","TRANSPORT RES B-METH","PERGAMON-ELSEVIER SCIENCE LTD","0191-2615","1879-2367","ECONOMICS","SSCI","19,133","6.3","Q1","1.44","21.93"%,
"American Economic Journal-Applied Economics","AM ECON J-APPL ECON","AMER ECONOMIC ASSOC","1945-7782","1945-7790","ECONOMICS","SSCI","6,816","6.2","Q1","1.94","1.13"%,
"Equilibrium-Quarterly Journal of Economics and Economic Policy","EQUILIBRIUM","INST ECONOMIC RESEARCH-POLAND","1689-765X","2353-3293","ECONOMICS","ESCI","779","6.2","Q1","1.77","96.26"%,
"Journal of International Financial Markets Institutions & Money","J INT FINANC MARK I","ELSEVIER","1042-4431","1873-0612","ECONOMICS","SSCI","5,789","6.1","Q1","1.7","28.81"%,
"JOURNAL OF HUMAN RESOURCES","J HUM RESOUR","UNIV WISCONSIN PRESS","0022-166X","1548-8004","ECONOMICS","SSCI","6,561","6","Q1","2.39","27.72"%,
"FOOD POLICY","FOOD POLICY","ELSEVIER SCI LTD","0306-9192","1873-5657","ECONOMICS","SSCI","10,970","6","Q1","1.9","46.67"%,
"VALUE IN HEALTH","VALUE HEALTH","ELSEVIER SCIENCE INC","1098-3015","1524-4733","ECONOMICS","SSCI","14,950","6","Q1","1.5","37.59"%,
"JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT","J ENVIRON ECON MANAG","ACADEMIC PRESS INC ELSEVIER SCIENCE","0095-0696","1096-0449","ECONOMICS","SSCI","12,038","5.9","Q1","1.45","38.79"%,
"American Economic Journal-Macroeconomics","AM ECON J-MACROECON","AMER ECONOMIC ASSOC","1945-7707","1945-7715","ECONOMICS","SSCI","4,410","5.7","Q1","2.21","0.63"%,
"International Review of Economics & Finance","INT REV ECON FINANC","ELSEVIER","1059-0560","1873-8036","ECONOMICS","SSCI","10,982","5.6","Q1","1.72","11.23"%,
"Structural Change and Economic Dynamics","STRUCT CHANGE ECON D","ELSEVIER","0954-349X","1873-6017","ECONOMICS","SSCI","5,278","5.5","Q1","1.78","23.2"%,
"CHINA ECONOMIC REVIEW","CHINA ECON REV","ELSEVIER SCIENCE INC","1043-951X","1873-7781","ECONOMICS","SSCI","9,158","5.5","Q1","1.75","4.3"%,
"REVIEW OF FINANCIAL STUDIES","REV FINANC STUD","OXFORD UNIV PRESS INC","0893-9454","1465-7368","ECONOMICS","SSCI","29,654","5.4","Q1","2.05","16.37"%,
