"Journal Data Filtered By:  Selected Categories: ASIAN STUDIES;AREA STUDIES Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"European Security","EUR SECUR","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0966-2839","1746-1545","AREA STUDIES","SSCI","934","3.6","Q1","1.98","57.28"%,
"Journal of Chinese Political Science","J CHIN POLIT SCI","SPRINGER","1080-6954","1874-6357","AREA STUDIES","SSCI","1,028","3.5","Q1","3.32","13.83"%,
"CHINA JOURNAL","CHINA J","UNIV CHICAGO PRESS","1324-9347","1835-8535","AREA STUDIES","SSCI","942","3.4","Q1","4.34","0"%,
"East European Politics","EAST EUR POLITICS","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2159-9165","2159-9173","AREA STUDIES","SSCI","993","3.1","Q1","1.98","43.48"%,
"POST-SOVIET AFFAIRS","POST-SOV AFF","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1060-586X","1938-2855","AREA STUDIES","SSCI","1,005","3","Q1","1.79","28.41"%,
"CHINA QUARTERLY","CHINA QUART","CAMBRIDGE UNIV PRESS","0305-7410","1468-2648","AREA STUDIES","SSCI","3,888","2.5","Q1","2.8","61.21"%,
"Journal of Contemporary China","J CONTEMP CHINA","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1067-0564","1469-9400","AREA STUDIES","SSCI","2,654","2.4","Q1","2.69","14.36"%,
"BULLETIN OF INDONESIAN ECONOMIC STUDIES","B INDONES ECON STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0007-4918","1472-7234","AREA STUDIES","SSCI","568","2.3","Q1","1.78","12.82"%,
"Africa Spectrum","AFR SPECTR","SAGE PUBLICATIONS INC","0002-0397","1868-6869","AREA STUDIES","SSCI","485","2.2","Q1","2.23","100"%,
"AFRICAN AFFAIRS","AFR AFFAIRS","OXFORD UNIV PRESS","0001-9909","1468-2621","AREA STUDIES","SSCI","1,942","2.2","Q1","1.85","47.89"%,
