"Journal Data Filtered By:  Selected Categories: COMMUNICATION Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"JOURNAL OF ADVERTISING","J ADVERTISING","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0091-3367","1557-7805","COMMUNICATION","SSCI","7,234","7","Q1","1.91","12.4"%,
"TELECOMMUNICATIONS POLICY","TELECOMMUN POLICY","ELSEVIER SCI LTD","0308-5961","1879-3258","COMMUNICATION","SSCI","5,212","6.4","Q1","2.3","27.53"%,
"COMMUNICATION THEORY","COMMUN THEOR","OXFORD UNIV PRESS INC","1050-3293","1468-2885","COMMUNICATION","SSCI","3,815","6.2","Q1","2.28","46.3"%,
"International Journal of Advertising","INT J ADVERT","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0265-0487","1759-3948","COMMUNICATION","SSCI","5,191","5.9","Q1","1.84","12.5"%,
"Journal of Computer-Mediated Communication","J COMPUT-MEDIAT COMM","OXFORD UNIV PRESS INC","1083-6101","1083-6101","COMMUNICATION","SSCI","5,722","5.7","Q1","2.2","100"%,
"JOURNAL OF COMMUNICATION","J COMMUN","OXFORD UNIV PRESS INC","0021-9916","1460-2466","COMMUNICATION","SSCI","10,234","5.5","Q1","2.67","27.2"%,
"Digital Journalism","DIGIT JOURNAL","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2167-0811","2167-082X","COMMUNICATION","SSCI","5,347","5.4","Q1","2.3","32.55"%,
"POLITICAL COMMUNICATION","POLIT COMMUN","TAYLOR & FRANCIS INC","1058-4609","1091-7675","COMMUNICATION","SSCI","4,004","5.1","Q1","2.51","27.61"%,
"Social Media + Society","SOC MEDIA SOC","SAGE PUBLICATIONS LTD","2056-3051","2056-3051","COMMUNICATION","SSCI","7,355","4.9","Q1","2.47","98.75"%,
"Journal of Marketing Communications","J MARK COMMUN","TAYLOR & FRANCIS LTD","1352-7266","1466-4445","COMMUNICATION","ESCI","2,112","4.6","Q1","1.83","7.14"%,
"Annals of the International Communication Association","ANN INT COMMUN ASSOC","TAYLOR & FRANCIS LTD","2380-8985","2380-8977","COMMUNICATION","ESCI","1,531","4.4","Q1","2.04","17.24"%,
"International Journal of Press-Politics","INT J PRESS/POLIT","SAGE PUBLICATIONS INC","1940-1612","1940-1620","COMMUNICATION","SSCI","2,666","4.3","Q1","2","31.69"%,
"NEW MEDIA & SOCIETY","NEW MEDIA SOC","SAGE PUBLICATIONS LTD","1461-4448","1461-7315","COMMUNICATION","SSCI","15,253","4.3","Q1","1.99","41.75"%,
"SCIENCE COMMUNICATION","SCI COMMUN","SAGE PUBLICATIONS INC","1075-5470","1552-8545","COMMUNICATION","SSCI","2,730","4.1","Q1","1.69","23.4"%,
"Environmental Communication-A Journal of Nature and Culture","ENVIRON COMMUN","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1752-4032","1752-4040","COMMUNICATION","SSCI","2,929","4.1","Q1","1.11","25.93"%,
"Communication Methods and Measures","COMMUN METHODS MEAS","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1931-2458","1931-2466","COMMUNICATION","SSCI","2,410","3.7","Q1","2.48","34.62"%,
"Policy and Internet","POLICY INTERNET","WILEY","1944-2866","1944-2866","COMMUNICATION","SSCI","1,348","3.6","Q1","1.73","60.8"%,
"JOURNALISM & MASS COMMUNICATION QUARTERLY","J MASS COMMUN Q","SAGE PUBLICATIONS INC","1077-6990","2161-430X","COMMUNICATION","SSCI","3,595","3.6","Q1","1.41","16.56"%,
