"Journal Data Filtered By:  Selected Categories: DEMOGRAPHY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"POPULATION AND DEVELOPMENT REVIEW","POPUL DEV REV","WILEY","0098-7921","1728-4457","DEMOGRAPHY","SSCI","6,014","4.8","Q1","2.19","54.88"%,
"Comparative Migration Studies","COMP MIGR STUD","SPRINGERNATURE","N/A","2214-594X","DEMOGRAPHY","SSCI","1,631","3.7","Q1","1.89","100"%,
"DEMOGRAPHY","DEMOGRAPHY","DUKE UNIV PRESS","0070-3370","1533-7790","DEMOGRAPHY","SSCI","9,329","3.6","Q1","1.84","94.42"%,
"PERSPECTIVES ON SEXUAL AND REPRODUCTIVE HEALTH","PERSPECT SEX REPRO H","WILEY","1538-6341","1931-2393","DEMOGRAPHY","SSCI","1,294","3.5","Q1","1.88","49.35"%,
"JOURNAL OF ETHNIC AND MIGRATION STUDIES","J ETHN MIGR STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1369-183X","1469-9451","DEMOGRAPHY","SSCI","10,838","3.1","Q1","1.77","40.18"%,
"STUDIES IN FAMILY PLANNING","STUD FAMILY PLANN","WILEY","0039-3665","1728-4465","DEMOGRAPHY","SSCI","1,843","3.1","Q1","1.02","53.95"%,
"JOURNAL OF POPULATION ECONOMICS","J POPUL ECON","SPRINGER","0933-1433","1432-1475","DEMOGRAPHY","SSCI","3,324","3","Q1","1.44","47.37"%,
"Migration Studies","MIGR STUD","OXFORD UNIV PRESS","2049-5838","2049-5846","DEMOGRAPHY","SSCI","1,076","2.7","Q1","1.1","49.21"%,
"European Journal of Population-Revue Europeenne de Demographie","EUR J POPUL","SPRINGER","0168-6577","1572-9885","DEMOGRAPHY","SSCI","1,794","2.6","Q1","1.24","92.52"%,
"Population Space and Place","POPUL SPACE PLACE","WILEY","1544-8444","1544-8452","DEMOGRAPHY","SSCI","3,516","2.6","Q1","1.04","54.58"%,
"POPULATION AND ENVIRONMENT","POPUL ENVIRON","SPRINGER","0199-0039","1573-7810","DEMOGRAPHY","SSCI","1,967","2.5","Q1","1.03","40.79"%,
"INTERNATIONAL MIGRATION REVIEW","INT MIGR REV","SAGE PUBLICATIONS INC","0197-9183","1747-7379","DEMOGRAPHY","SSCI","4,961","2.4","Q1","1.19","31.06"%,
"POPULATION STUDIES-A JOURNAL OF DEMOGRAPHY","POP STUD-J DEMOG","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0032-4728","1477-4747","DEMOGRAPHY","SSCI","2,082","2.2","Q2","1.04","53.33"%,
