"Journal Data Filtered By:  Selected Categories: ENVIRONMENTAL STUDIES Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"Nature Climate Change","NAT CLIM CHANGE","NATURE PORTFOLIO","1758-678X","1758-6798","ENVIRONMENTAL STUDIES","SSCI","53,557","27.1","Q1","5.83","29.52"%,
"Nature Sustainability","NAT SUSTAIN","NATURE PORTFOLIO","2398-9629","2398-9629","ENVIRONMENTAL STUDIES","SSCI","24,660","27.1","Q1","5.22","22.81"%,
"Annual Review of Environment and Resources","ANNU REV ENV RESOUR","ANNUAL REVIEWS","1543-5938","1545-2050","ENVIRONMENTAL STUDIES","SSCI","8,211","16","Q1","1.55","100"%,
"One Earth","ONE EARTH","CELL PRESS","2590-3330","2590-3322","ENVIRONMENTAL STUDIES","SSCI","8,018","15.3","Q1","1.89","40.25"%,
"Business Strategy and the Environment","BUS STRATEG ENVIRON","WILEY","0964-4733","1099-0836","ENVIRONMENTAL STUDIES","SSCI","30,263","13.3","Q1","2.76","41.48"%,
"Tourism Management","TOURISM MANAGE","ELSEVIER SCI LTD","0261-5177","1879-3193","ENVIRONMENTAL STUDIES","SSCI","34,184","12.4","Q1","2.95","21.66"%,
"Environmental Impact Assessment Review","ENVIRON IMPACT ASSES","ELSEVIER SCIENCE INC","0195-9255","1873-6432","ENVIRONMENTAL STUDIES","SSCI","13,886","11.2","Q1","2.42","15.07"%,
"Wiley Interdisciplinary Reviews-Climate Change","WIRES CLIM CHANGE","WILEY","1757-7780","1757-7799","ENVIRONMENTAL STUDIES","SSCI","8,692","10.3","Q1","1.54","76.03"%,
"Sustainable Production and Consumption","SUSTAIN PROD CONSUMP","ELSEVIER","2352-5509","2352-5509","ENVIRONMENTAL STUDIES","SSCI","15,572","9.6","Q1","2.06","38.52"%,
"LANDSCAPE AND URBAN PLANNING","LANDSCAPE URBAN PLAN","ELSEVIER","0169-2046","1872-6062","ENVIRONMENTAL STUDIES","SSCI","32,710","9.2","Q1","2.4","40.92"%,
"Energy Policy","ENERG POLICY","ELSEVIER SCI LTD","0301-4215","1873-6777","ENVIRONMENTAL STUDIES","SSCI","68,208","9.2","Q1","2.09","33.62"%,
"GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS","GLOBAL ENVIRON CHANG","ELSEVIER SCI LTD","0959-3780","1872-9495","ENVIRONMENTAL STUDIES","SSCI","26,254","9.1","Q1","2.37","61.47"%,
"Corporate Social Responsibility and Environmental Management","CORP SOC RESP ENV MA","WILEY","1535-3958","1535-3966","ENVIRONMENTAL STUDIES","SSCI","15,559","9.1","Q1","1.98","26.7"%,
"npj Urban Sustainability","NPJ URBAN SUSTAIN","SPRINGERNATURE","N/A","2661-8001","ENVIRONMENTAL STUDIES","SSCI","1,371","8.8","Q1","2.29","100"%,
"Annual Review of Resource Economics","ANNU REV RESOUR ECON","ANNUAL REVIEWS","1941-1340","1941-1359","ENVIRONMENTAL STUDIES","SSCI","2,316","8.4","Q1","1.3","56.16"%,
"COMPUTERS ENVIRONMENT AND URBAN SYSTEMS","COMPUT ENVIRON URBAN","ELSEVIER SCI LTD","0198-9715","1873-7587","ENVIRONMENTAL STUDIES","SSCI","8,300","8.3","Q1","1.64","36.33"%,
"Resources Environment and Sustainability","RESOUR ENVIRON SUST","ELSEVIER","2666-9161","2666-9161","ENVIRONMENTAL STUDIES","ESCI","1,266","7.8","Q1","1.88","100"%,
"TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT","TRANSPORT RES D-TR E","PERGAMON-ELSEVIER SCIENCE LTD","1361-9209","1879-2340","ENVIRONMENTAL STUDIES","SSCI","25,282","7.7","Q1","1.69","29.95"%,
"Energy Research & Social Science","ENERGY RES SOC SCI","ELSEVIER","2214-6296","2214-6326","ENVIRONMENTAL STUDIES","SSCI","22,343","7.4","Q1","1.31","59.85"%,
"ORGANIZATION & ENVIRONMENT","ORGAN ENVIRON","SAGE PUBLICATIONS INC","1086-0266","1552-7417","ENVIRONMENTAL STUDIES","SSCI","3,374","7.3","Q1","1.19","48.28"%,
"Sustainability Accounting Management and Policy Journal","SUSTAIN ACCOUNT MANA","EMERALD GROUP PUBLISHING LTD","2040-8021","2040-803X","ENVIRONMENTAL STUDIES","SSCI","2,906","7.2","Q1","1.39","14.59"%,
"JOURNAL OF ENVIRONMENTAL PSYCHOLOGY","J ENVIRON PSYCHOL","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","0272-4944","1522-9610","ENVIRONMENTAL STUDIES","SSCI","20,719","7","Q1","1.85","43.97"%,
"HABITAT INTERNATIONAL","HABITAT INT","PERGAMON-ELSEVIER SCIENCE LTD","0197-3975","1873-5428","ENVIRONMENTAL STUDIES","SSCI","12,035","7","Q1","1.71","20.13"%,
"URBAN FORESTRY & URBAN GREENING","URBAN FOR URBAN GREE","ELSEVIER GMBH","1618-8667","1610-8167","ENVIRONMENTAL STUDIES","SSCI","20,098","6.7","Q1","1.88","31.16"%,
"Review of Environmental Economics and Policy","REV ENV ECON POLICY","UNIV CHICAGO PRESS","1750-6816","1750-6824","ENVIRONMENTAL STUDIES","SSCI","2,428","6.6","Q1","1.89","3.51"%,
"Ecosystem Services","ECOSYST SERV","ELSEVIER","2212-0416","2212-0416","ENVIRONMENTAL STUDIES","SSCI","10,896","6.6","Q1","1.34","45.58"%,
"ECOLOGICAL ECONOMICS","ECOL ECON","ELSEVIER","0921-8009","1873-6106","ENVIRONMENTAL STUDIES","SSCI","35,499","6.3","Q1","1.57","45.45"%,
"Environmental Innovation and Societal Transitions","ENVIRON INNOV SOC TR","ELSEVIER","2210-4224","2210-4232","ENVIRONMENTAL STUDIES","SSCI","5,965","6.1","Q1","1.2","75.17"%,
"ENVIRONMENTAL POLITICS","ENVIRON POLIT","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0964-4016","1743-8934","ENVIRONMENTAL STUDIES","SSCI","5,424","5.9","Q1","1.91","44.89"%,
"JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT","J ENVIRON ECON MANAG","ACADEMIC PRESS INC ELSEVIER SCIENCE","0095-0696","1096-0449","ENVIRONMENTAL STUDIES","SSCI","12,038","5.9","Q1","1.45","38.79"%,
"LAND USE POLICY","LAND USE POLICY","ELSEVIER SCI LTD","0264-8377","1873-5754","ENVIRONMENTAL STUDIES","SSCI","35,259","5.9","Q1","1.41","29.9"%,
"Global Sustainability","GLOB SUSTAIN","CAMBRIDGE UNIV PRESS","N/A","2059-4798","ENVIRONMENTAL STUDIES","ESCI","1,172","5.8","Q1","0.68","100"%,
"PROGRESS IN PLANNING","PROG PLANN","PERGAMON-ELSEVIER SCIENCE LTD","0305-9006","1873-4510","ENVIRONMENTAL STUDIES","SSCI","1,416","5.7","Q1","1.3","38.89"%,
"Environmental and Sustainability Indicators","ENVIRON SUSTAIN IND","ELSEVIER","2665-9727","2665-9727","ENVIRONMENTAL STUDIES","ESCI","2,035","5.6","Q1","1.09","98.18"%,
"Cleaner and Responsible Consumption","CLEAN RESPONS CONSUM","ELSEVIER","2666-7843","2666-7843","ENVIRONMENTAL STUDIES","ESCI","957","5.3","Q1","0.94","98.97"%,
"CLIMATE POLICY","CLIM POLICY","TAYLOR & FRANCIS LTD","1469-3062","1752-7457","ENVIRONMENTAL STUDIES","SSCI","6,353","5.2","Q1","1.66","34.74"%,
"PLOS Climate","PLOS CLIM","PUBLIC LIBRARY SCIENCE","N/A","2767-3200","ENVIRONMENTAL STUDIES","ESCI","1,000","5.1","Q1","0.77","99.65"%,
"Climate Risk Management","CLIM RISK MANAG","ELSEVIER","2212-0963","2212-0963","ENVIRONMENTAL STUDIES","SSCI","3,225","5","Q1","1.09","100"%,
"Cleaner Environmental Systems","CLEAN ENVIRON SYST","ELSEVIER","2666-7894","2666-7894","ENVIRONMENTAL STUDIES","ESCI","1,042","4.9","Q1","0.91","98.88"%,
"Energy & Environment","ENERG ENVIRON-UK","SAGE PUBLICATIONS LTD","0958-305X","2048-4070","ENVIRONMENTAL STUDIES","SSCI","3,967","4.8","Q1","1.09","3.05"%,
"Sustainability-Science Practice and Policy","SUSTAINABILITY-SCI P","TAYLOR & FRANCIS LTD","N/A","1548-7733","ENVIRONMENTAL STUDIES","ESCI","1,287","4.8","Q1","0.95","99.29"%,
"Chinese Journal of Population Resources and Environment","CHIN J POPUL RESOUR","KEAI PUBLISHING LTD","2096-9589","2325-4262","ENVIRONMENTAL STUDIES","ESCI","1,110","4.8","Q1","0.9","97.48"%,
"Earth System Governance","EARTH SYST GOV-NETH","ELSEVIER","2589-8116","2589-8116","ENVIRONMENTAL STUDIES","ESCI","797","4.6","Q1","2.01","100"%,
"ENVIRONMENT AND BEHAVIOR","ENVIRON BEHAV","SAGE PUBLICATIONS INC","0013-9165","1552-390X","ENVIRONMENTAL STUDIES","SSCI","8,819","4.6","Q1","1.2","40.68"%,
"Regional Sustainability","REG SUSTAIN","KEAI PUBLISHING LTD","2097-0129","2666-660X","ENVIRONMENTAL STUDIES","ESCI","540","4.6","Q1","0.98","99.04"%,
"PLOS Sustainability and Transformation","PLOS SUSTAIN TRANSF","PUBLIC LIBRARY SCIENCE","N/A","2767-3197","ENVIRONMENTAL STUDIES","ESCI","323","4.6","Q1","0.75","99.01"%,
"Climate Services","CLIM SERV","ELSEVIER","2405-8807","2405-8807","ENVIRONMENTAL STUDIES","SSCI","1,691","4.5","Q1","0.91","99.15"%,
"Utilities Policy","UTIL POLICY","ELSEVIER SCI LTD","0957-1787","1878-4356","ENVIRONMENTAL STUDIES","SSCI","3,517","4.4","Q1","0.97","28.89"%,
"Extractive Industries and Society","EXTRACT IND SOC","ELSEVIER SCI LTD","2214-790X","2214-7918","ENVIRONMENTAL STUDIES","SSCI","4,272","4.3","Q2","0.93","34.39"%,
"REGIONAL STUDIES","REG STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0034-3404","1360-0591","ENVIRONMENTAL STUDIES","SSCI","11,305","4.2","Q2","1.12","29.37"%,
"Business Strategy and Development","BUS STRATEGY DEV","WILEY","N/A","2572-3170","ENVIRONMENTAL STUDIES","ESCI","1,384","4.2","Q2","0.95","17.8"%,
"Environmental Communication-A Journal of Nature and Culture","ENVIRON COMMUN","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1752-4032","1752-4040","ENVIRONMENTAL STUDIES","SSCI","2,929","4.1","Q2","1.11","25.93"%,
"URBAN STUDIES","URBAN STUD","SAGE PUBLICATIONS LTD","0042-0980","1360-063X","ENVIRONMENTAL STUDIES","SSCI","16,324","4.1","Q2","1.05","42.4"%,
"Management of Environmental Quality","MANAG ENVIRON QUAL","EMERALD GROUP PUBLISHING LTD","1477-7835","1758-6119","ENVIRONMENTAL STUDIES","ESCI","3,188","4.1","Q2","1.01","1.53"%,
"Frontiers in Climate","FRONT CLIM","FRONTIERS MEDIA SA","N/A","2624-9553","ENVIRONMENTAL STUDIES","ESCI","2,889","4.1","Q2","0.7","100"%,
"Global Environmental Politics","GLOBAL ENVIRON POLIT","MIT PRESS","1526-3800","1536-0091","ENVIRONMENTAL STUDIES","SSCI","2,243","4","Q2","1.86","30.3"%,
"Environment and Planning A-Economy and Space","ENVIRON PLANN A","SAGE PUBLICATIONS INC","0308-518X","1472-3409","ENVIRONMENTAL STUDIES","SSCI","11,477","4","Q2","1.14","49.66"%,
"Energy Efficiency","ENERG EFFIC","SPRINGER","1570-646X","1570-6478","ENVIRONMENTAL STUDIES","SSCI","2,911","4","Q2","0.64","37.41"%,
"Environmental Policy and Governance","ENVIRON POLICY GOV","WILEY PERIODICALS, INC","1756-932X","1756-9338","ENVIRONMENTAL STUDIES","SSCI","1,804","3.9","Q2","0.75","68.67"%,
"International Journal of Sustainable Transportation","INT J SUSTAIN TRANSP","TAYLOR & FRANCIS INC","1556-8318","1556-8334","ENVIRONMENTAL STUDIES","SSCI","3,424","3.9","Q2","0.62","19.3"%,
"ENVIRONMENT","ENVIRONMENT","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0013-9157","1939-9154","ENVIRONMENTAL STUDIES","SSCI","1,562","3.9","Q2","0.61","31.91"%,
"Forest Policy and Economics","FOREST POLICY ECON","ELSEVIER","1389-9341","1872-7050","ENVIRONMENTAL STUDIES","SSCI","7,125","3.8","Q2","1.17","37.24"%,
