"Journal Data Filtered By:  Selected Categories: INDUSTRIAL RELATIONS & LABOR Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"Human Resource Management Journal","HUM RESOUR MANAG J","WILEY","0954-5395","1748-8583","INDUSTRIAL RELATIONS & LABOR","SSCI","4,354","6.2","Q1","1.53","60.71"%,
"JOURNAL OF HUMAN RESOURCES","J HUM RESOUR","UNIV WISCONSIN PRESS","0022-166X","1548-8004","INDUSTRIAL RELATIONS & LABOR","SSCI","6,561","6","Q1","2.39","27.72"%,
"JOURNAL OF LABOR ECONOMICS","J LABOR ECON","UNIV CHICAGO PRESS","0734-306X","1537-5307","INDUSTRIAL RELATIONS & LABOR","SSCI","6,076","5","Q1","1.51","3.28"%,
"Asia Pacific Journal of Human Resources","ASIA PAC J HUM RESOU","WILEY","1038-4111","1744-7941","INDUSTRIAL RELATIONS & LABOR","SSCI","1,472","4.5","Q1","1.25","17.5"%,
"Human Resources for Health","HUM RESOUR HEALTH","BMC","N/A","1478-4491","INDUSTRIAL RELATIONS & LABOR","SSCI","5,122","4.3","Q1","1.32","100"%,
"PERSONNEL REVIEW","PERS REV","EMERALD GROUP PUBLISHING LTD","0048-3486","1758-6933","INDUSTRIAL RELATIONS & LABOR","SSCI","5,871","4.2","Q1","1.2","6.35"%,
"Human Resource Development Quarterly","HUM RESOUR DEV Q","WILEY PERIODICALS, INC","1044-8004","1532-1096","INDUSTRIAL RELATIONS & LABOR","SSCI","2,150","3.8","Q1","1.27","32.61"%,
"WORK EMPLOYMENT AND SOCIETY","WORK EMPLOY SOC","SAGE PUBLICATIONS LTD","0950-0170","1469-8722","INDUSTRIAL RELATIONS & LABOR","SSCI","4,823","3.8","Q1","1.22","59.32"%,
"WORK AND OCCUPATIONS","WORK OCCUPATION","SAGE PUBLICATIONS INC","0730-8884","1552-8464","INDUSTRIAL RELATIONS & LABOR","SSCI","1,794","3.7","Q1","1.93","33.82"%,
"Transfer-European Review of Labour and Research","TRANSFER-LONDON","SAGE PUBLICATIONS LTD","1024-2589","1996-7284","INDUSTRIAL RELATIONS & LABOR","SSCI","943","3.7","Q1","1.55","39.19"%,
"ILR Review","ILR REV","SAGE PUBLICATIONS INC","0019-7939","2162-271X","INDUSTRIAL RELATIONS & LABOR","SSCI","3,703","3.7","Q1","1.5","26.25"%,
"INTERNATIONAL JOURNAL OF MANPOWER","INT J MANPOWER","EMERALD GROUP PUBLISHING LTD","0143-7720","1758-6577","INDUSTRIAL RELATIONS & LABOR","SSCI","3,881","3.5","Q1","1.33","7.87"%,
"EMPLOYEE RELATIONS","EMPL RELAT","EMERALD GROUP PUBLISHING LTD","0142-5455","1758-7069","INDUSTRIAL RELATIONS & LABOR","SSCI","3,161","3.2","Q1","1.05","10.13"%,
"PUBLIC PERSONNEL MANAGEMENT","PUBLIC PERS MANAGE","SAGE PUBLICATIONS INC","0091-0260","1945-7421","INDUSTRIAL RELATIONS & LABOR","SSCI","1,276","2.6","Q2","1.11","21.62"%,
"INTERNATIONAL LABOUR REVIEW","INT LABOUR REV","OPEN LIBRARY HUMANITIES","0020-7780","1564-913X","INDUSTRIAL RELATIONS & LABOR","SSCI","1,220","2.6","Q2","0.98","20.45"%,
"Journal of Industrial Relations","J IND RELAT","SAGE PUBLICATIONS INC","0022-1856","1472-9296","INDUSTRIAL RELATIONS & LABOR","SSCI","1,051","2.6","Q2","0.97","38.46"%,
"INDUSTRIAL RELATIONS","IND RELAT","WILEY","0019-8676","1468-232X","INDUSTRIAL RELATIONS & LABOR","SSCI","1,295","2.6","Q2","0.88","58.21"%,
"Advances in Developing Human Resources","ADV DEV HUM RESOUR","SAGE PUBLICATIONS INC","1523-4223","1552-3055","INDUSTRIAL RELATIONS & LABOR","ESCI","1,534","2.4","Q2","1.23","2.44"%,
"ECONOMIC AND INDUSTRIAL DEMOCRACY","ECON IND DEMOCRACY","SAGE PUBLICATIONS LTD","0143-831X","1461-7099","INDUSTRIAL RELATIONS & LABOR","SSCI","1,453","2.3","Q2","0.82","45.51"%,
"Work Aging and Retirement","WORK AGING RETIRE","OXFORD UNIV PRESS","2054-4642","2054-4650","INDUSTRIAL RELATIONS & LABOR","SSCI","972","2.3","Q2","0.79","26.53"%,
"BRITISH JOURNAL OF INDUSTRIAL RELATIONS","BRIT J IND RELAT","WILEY","0007-1080","1467-8543","INDUSTRIAL RELATIONS & LABOR","SSCI","1,874","2.2","Q2","0.81","64.36"%,
