"Journal Data Filtered By:  Selected Categories: SOCIAL SCIENCES, INTERDISCIPLINARY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"International Journal of Transgender Health","INT J TRANSGEND HEAL","TAYLOR & FRANCIS INC","2689-5269","2689-5277","SOCIAL SCIENCES, INTERDISCIPLINARY","SSCI","2,255","14.8","Q1","2.59","28.11"%,
"TECHNOLOGY IN SOCIETY","TECHNOL SOC","ELSEVIER SCI LTD","0160-791X","1879-3274","SOCIAL SCIENCES, INTERDISCIPLINARY","SSCI","16,227","12.5","Q1","4.98","24.14"%,
"Adolescent Research Review","ADOLESC RES REV","SPRINGER INT PUBL AG","2363-8346","2363-8354","SOCIAL SCIENCES, INTERDISCIPLINARY","SSCI","1,350","8.1","Q1","1.32","69.86"%,
"Journal of Mixed Methods Research","J MIX METHOD RES","SAGE PUBLICATIONS INC","1558-6898","1558-6901","SOCIAL SCIENCES, INTERDISCIPLINARY","SSCI","2,621","7.8","Q1","2.14","23.88"%,
"Journal of Consumer Sciences","J CONSUM SCI","SOUTH AFRICAN ASSOC FAMILY ECOLOGY & CONSUMER SCIENCES-SAAFECS","N/A","0378-5254","SOCIAL SCIENCES, INTERDISCIPLINARY","ESCI","131","7.2","Q1","0.23","0"%,
"Campbell Systematic Reviews","CAMPBELL SYST REV","WILEY","N/A","1891-1803","SOCIAL SCIENCES, INTERDISCIPLINARY","ESCI","2,475","7.1","Q1","1.97","96.68"%,
"ACCIDENT ANALYSIS AND PREVENTION","ACCIDENT ANAL PREV","PERGAMON-ELSEVIER SCIENCE LTD","0001-4575","1879-2057","SOCIAL SCIENCES, INTERDISCIPLINARY","SSCI","31,668","6.2","Q1","2.05","18.68"%,
"Big Data & Society","BIG DATA SOC","SAGE PUBLICATIONS INC","2053-9517","2053-9517","SOCIAL SCIENCES, INTERDISCIPLINARY","SSCI","5,264","5.9","Q1","2.94","98.48"%,
"HUMAN RELATIONS","HUM RELAT","SAGE PUBLICATIONS LTD","0018-7267","1741-282X","SOCIAL SCIENCES, INTERDISCIPLINARY","SSCI","12,747","5.4","Q1","1.87","45.93"%,
"JOURNAL OF SAFETY RESEARCH","J SAFETY RES","PERGAMON-ELSEVIER SCIENCE LTD","0022-4375","1879-1247","SOCIAL SCIENCES, INTERDISCIPLINARY","SSCI","6,690","4.4","Q1","1.38","23.65"%,
