"Journal Data Filtered By:  Selected Categories: MANAGEMENT Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"Annual Review of Organizational Psychology and Organizational Behavior","ANNU REV ORGAN PSYCH","ANNUAL REVIEWS","2327-0608","2327-0616","MANAGEMENT","SSCI","6,408","31.1","Q1","8.73","68.42"%,
"Academy of Management Annals","ACAD MANAG ANN","ACAD MANAGEMENT","1941-6520","1941-6067","MANAGEMENT","SSCI","10,376","16.5","Q1","3.06","1.49"%,
"Journal of Innovation & Knowledge","J INNOV KNOWL","ELSEVIER ESPANA","2530-7614","2444-569X","MANAGEMENT","SSCI","6,367","15.5","Q1","3.81","99.36"%,
"ACADEMY OF MANAGEMENT REVIEW","ACAD MANAGE REV","ACAD MANAGEMENT","0363-7425","1930-3807","MANAGEMENT","SSCI","41,552","13.9","Q1","3.82","1.98"%,
"Business Strategy and the Environment","BUS STRATEG ENVIRON","WILEY","0964-4733","1099-0836","MANAGEMENT","SSCI","30,263","13.3","Q1","2.76","41.48"%,
"HUMAN RESOURCE MANAGEMENT REVIEW","HUM RESOUR MANAGE R","ELSEVIER","1053-4822","1873-7889","MANAGEMENT","SSCI","7,242","13","Q1","2.15","28.89"%,
"Tourism Management","TOURISM MANAGE","ELSEVIER SCI LTD","0261-5177","1879-3193","MANAGEMENT","SSCI","34,184","12.4","Q1","2.95","21.66"%,
"JOURNAL OF STRATEGIC INFORMATION SYSTEMS","J STRATEGIC INF SYST","ELSEVIER","0963-8687","1873-1198","MANAGEMENT","SSCI","4,480","11.8","Q1","2.05","53.23"%,
"Journal of Hospitality Marketing & Management","J HOSP MARKET MANAG","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1936-8623","1936-8631","MANAGEMENT","SSCI","4,617","11","Q1","2.63","3.7"%,
"TECHNOVATION","TECHNOVATION","ELSEVIER","0166-4972","1879-2383","MANAGEMENT","SSCI","12,805","10.9","Q1","2.29","39.44"%,
"INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS","INT J MANAG REV","WILEY","1460-8545","1468-2370","MANAGEMENT","SSCI","7,239","10.8","Q1","1.44","60"%,
"ACADEMY OF MANAGEMENT JOURNAL","ACAD MANAGE J","ACAD MANAGEMENT","0001-4273","1948-0989","MANAGEMENT","SSCI","47,303","10.5","Q1","2.42","2.06"%,
"JOURNAL OF OPERATIONS MANAGEMENT","J OPER MANAG","WILEY","0272-6963","1873-1317","MANAGEMENT","SSCI","11,777","10.4","Q1","1.77","27.21"%,
"Journal of Supply Chain Management","J SUPPLY CHAIN MANAG","WILEY","1523-2409","1745-493X","MANAGEMENT","SSCI","3,677","9.9","Q1","2.4","40.48"%,
