"Journal Data Filtered By:  Selected Categories: PSYCHOLOGY;PSYCHOLOGY, SOCIAL Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"Annual Review of Psychology","ANNU REV PSYCHOL","ANNUAL REVIEWS","0066-4308","1545-2085","PSYCHOLOGY","SCIE","29,863","29.4","Q1","5.32","61.33"%,
"PSYCHOLOGICAL BULLETIN","PSYCHOL BULL","AMER PSYCHOLOGICAL ASSOC","0033-2909","1939-1455","PSYCHOLOGY","SCIE","59,903","19.8","Q1","4.1","34.38"%,
"PSYCHOTHERAPY AND PSYCHOSOMATICS","PSYCHOTHER PSYCHOSOM","KARGER","0033-3190","1423-0348","PSYCHOLOGY","SCIE","6,466","18.1","Q1","2.81","33.78"%,
"Annual Review of Clinical Psychology","ANNU REV CLIN PSYCHO","ANNUAL REVIEWS","1548-5943","1548-5951","PSYCHOLOGY","SCIE","10,094","16.5","Q1","4.45","56.67"%,
"Advances in Methods and Practices in Psychological Science","ADV METH PRACT PSYCH","SAGE PUBLICATIONS INC","2515-2459","2515-2467","PSYCHOLOGY","SCIE","3,656","13.4","Q1","5.46","98.88"%,
"PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW","PERS SOC PSYCHOL REV","SAGE PUBLICATIONS INC","1088-8683","1532-7957","PSYCHOLOGY, SOCIAL","SSCI","8,781","10.4","Q1","2.83","38"%,
"European Review of Social Psychology","EUR REV SOC PSYCHOL","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1046-3283","1479-277X","PSYCHOLOGY, SOCIAL","SSCI","2,846","7.8","Q1","3.23","37.14"%,
"JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY","J CHILD PSYCHOL PSYC","WILEY","0021-9630","1469-7610","PSYCHOLOGY","SCIE","22,546","7","Q1","1.79","58.84"%,
"JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY","J PERS SOC PSYCHOL","AMER PSYCHOLOGICAL ASSOC","0022-3514","1939-1315","PSYCHOLOGY, SOCIAL","SSCI","81,673","6.7","Q1","2.49","20.4"%,
"PSYCHOLOGICAL REVIEW","PSYCHOL REV","AMER PSYCHOLOGICAL ASSOC","0033-295X","1939-1471","PSYCHOLOGY","SCIE","32,225","5.8","Q1","1.98","45.05"%,
"Social Issues and Policy Review","SOC ISS POLICY REV","WILEY","1751-2395","1751-2409","PSYCHOLOGY, SOCIAL","SSCI","1,423","5.6","Q1","2.33","25"%,
"PSYCHOLOGICAL MEDICINE","PSYCHOL MED","CAMBRIDGE UNIV PRESS","0033-2917","1469-8978","PSYCHOLOGY","SCIE","36,435","5.5","Q1","1.97","61.07"%,
"JOURNAL OF SOCIAL ISSUES","J SOC ISSUES","WILEY","0022-4537","1540-4560","PSYCHOLOGY, SOCIAL","SSCI","10,354","4.7","Q1","1.51","36.99"%,
