"Journal Data Filtered By:  Selected Categories: PUBLIC ADMINISTRATION Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"JOURNAL OF PUBLIC ADMINISTRATION RESEARCH AND THEORY","J PUBL ADM RES THEOR","OXFORD UNIV PRESS","1053-1858","1477-9803","PUBLIC ADMINISTRATION","SSCI","7,664","6.3","Q1","2.34","26.92"%,
"Policy and Society","POLICY SOC","OXFORD UNIV PRESS","1449-4035","1839-3373","PUBLIC ADMINISTRATION","SSCI","2,301","6.1","Q1","2.63","99.08"%,
"CLIMATE POLICY","CLIM POLICY","TAYLOR & FRANCIS LTD","1469-3062","1752-7457","PUBLIC ADMINISTRATION","SSCI","6,353","5.2","Q1","1.66","34.74"%,
"PUBLIC ADMINISTRATION","PUBLIC ADMIN","WILEY","0033-3298","1467-9299","PUBLIC ADMINISTRATION","SSCI","5,829","5.1","Q1","1.99","56.19"%,
"POLICY STUDIES JOURNAL","POLICY STUD J","WILEY","0190-292X","1541-0072","PUBLIC ADMINISTRATION","SSCI","3,906","4.9","Q1","2.19","40.91"%,
"PUBLIC ADMINISTRATION REVIEW","PUBLIC ADMIN REV","WILEY","0033-3352","1540-6210","PUBLIC ADMINISTRATION","SSCI","13,272","4.9","Q1","2.05","37.75"%,
"Public Management Review","PUBLIC MANAG REV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1471-9037","1471-9045","PUBLIC ADMINISTRATION","SSCI","8,033","4.9","Q1","1.44","29.41"%,
"Earth System Governance","EARTH SYST GOV-NETH","ELSEVIER","2589-8116","2589-8116","PUBLIC ADMINISTRATION","ESCI","797","4.6","Q1","2.01","100"%,
"JOURNAL OF EUROPEAN PUBLIC POLICY","J EUR PUBLIC POLICY","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1350-1763","1466-4429","PUBLIC ADMINISTRATION","SSCI","7,667","4.5","Q1","2.21","59.07"%,
"Regulation & Governance","REGUL GOV","WILEY","1748-5983","1748-5991","PUBLIC ADMINISTRATION","SSCI","2,310","3.8","Q1","2.55","71.27"%,
"POLICY SCIENCES","POLICY SCI","SPRINGER","0032-2687","1573-0891","PUBLIC ADMINISTRATION","SSCI","3,336","3.7","Q1","1.68","56.6"%,
"Journal of Chinese Governance","J CHIN GOV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2381-2346","2381-2354","PUBLIC ADMINISTRATION","SSCI","493","3.7","Q1","1.23","6.12"%,
"Perspectives on Public Management and Governance","PERSPECT PUBLIC MAN","OXFORD UNIV PRESS","2398-4910","2398-4929","PUBLIC ADMINISTRATION","ESCI","616","3.7","Q1","1.17","14.29"%,
"Review of Policy Research","REV POLICY RES","WILEY","1541-132X","1541-1338","PUBLIC ADMINISTRATION","SSCI","1,570","3.2","Q1","1.35","38.36"%,
"Public Policy and Administration","PUBLIC POLICY ADMIN","SAGE PUBLICATIONS LTD","0952-0767","1749-4192","PUBLIC ADMINISTRATION","SSCI","1,124","3.2","Q1","1.24","41.86"%,
"JOURNAL OF EUROPEAN SOCIAL POLICY","J EUR SOC POLICY","SAGE PUBLICATIONS LTD","0958-9287","1461-7269","PUBLIC ADMINISTRATION","SSCI","2,333","3.2","Q1","1.04","49.57"%,
"POLICY AND POLITICS","POLICY POLIT","POLICY PRESS","0305-5736","1470-8442","PUBLIC ADMINISTRATION","SSCI","1,909","3.1","Q1","1.79","17.24"%,
"Behavioural Public Policy","BEHAV PUBLIC POLICY","CAMBRIDGE UNIV PRESS","2398-063X","2398-0648","PUBLIC ADMINISTRATION","ESCI","1,110","3.1","Q1","1.61","61.29"%,
"Review of Public Personnel Administration","REV PUBLIC PERS ADM","SAGE PUBLICATIONS INC","0734-371X","1552-759X","PUBLIC ADMINISTRATION","SSCI","1,817","3.1","Q1","1.25","21.57"%,
"GOVERNANCE-AN INTERNATIONAL JOURNAL OF POLICY ADMINISTRATION AND INSTITUTIONS","GOVERNANCE","WILEY","0952-1895","1468-0491","PUBLIC ADMINISTRATION","SSCI","3,539","3.1","Q1","1.2","54.59"%,
"International Public Management Journal","INT PUBLIC MANAG J","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1096-7494","1559-3169","PUBLIC ADMINISTRATION","SSCI","1,789","3","Q1","0.89","24.17"%,
"European Policy Analysis","EUR POLICY ANAL","WILEY","N/A","2380-6567","PUBLIC ADMINISTRATION","ESCI","493","2.9","Q1","1.48","65.33"%,
"Public Performance & Management Review","PUBLIC PERFORM MANAG","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1530-9576","1557-9271","PUBLIC ADMINISTRATION","SSCI","1,893","2.8","Q2","1.15","11.24"%,
"Data & Policy","DATA POLICY","CAMBRIDGE UNIV PRESS","N/A","2632-3249","PUBLIC ADMINISTRATION","ESCI","387","2.7","Q2","0.92","100"%,
"Policy Design and Practice","POLICY DES PRACT","TAYLOR & FRANCIS LTD","N/A","2574-1292","PUBLIC ADMINISTRATION","ESCI","772","2.6","Q2","1.47","98.73"%,
"PUBLIC PERSONNEL MANAGEMENT","PUBLIC PERS MANAGE","SAGE PUBLICATIONS INC","0091-0260","1945-7421","PUBLIC ADMINISTRATION","SSCI","1,276","2.6","Q2","1.11","21.62"%,
"INTERNATIONAL REVIEW OF ADMINISTRATIVE SCIENCES","INT REV ADM SCI","SAGE PUBLICATIONS LTD","0020-8523","1461-7226","PUBLIC ADMINISTRATION","SSCI","2,412","2.6","Q2","1.09","23.76"%,
