"Journal Data Filtered By:  Selected Categories: URBAN STUDIES Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"LANDSCAPE AND URBAN PLANNING","LANDSCAPE URBAN PLAN","ELSEVIER","0169-2046","1872-6062","URBAN STUDIES","SSCI","32,710","9.2","Q1","2.4","40.92"%,
"npj Urban Sustainability","NPJ URBAN SUSTAIN","SPRINGERNATURE","N/A","2661-8001","URBAN STUDIES","SSCI","1,371","8.8","Q1","2.29","100"%,
"HABITAT INTERNATIONAL","HABITAT INT","PERGAMON-ELSEVIER SCIENCE LTD","0197-3975","1873-5428","URBAN STUDIES","SSCI","12,035","7","Q1","1.71","20.13"%,
"URBAN FORESTRY & URBAN GREENING","URBAN FOR URBAN GREE","ELSEVIER GMBH","1618-8667","1610-8167","URBAN STUDIES","SSCI","20,098","6.7","Q1","1.88","31.16"%,
"CITIES","CITIES","ELSEVIER SCI LTD","0264-2751","1873-6084","URBAN STUDIES","SSCI","24,866","6.6","Q1","1.96","31.46"%,
"Smart Cities","SMART CITIES-BASEL","MDPI","N/A","2624-6511","URBAN STUDIES","ESCI","2,952","5.5","Q1","1.57","100"%,
"JOURNAL OF PLANNING LITERATURE","J PLAN LIT","SAGE PUBLICATIONS INC","0885-4122","1552-6593","URBAN STUDIES","SSCI","1,849","5.2","Q1","0.93","31.75"%,
"Journal of Urban Management","J URBAN MANAG","ELSEVIER","2226-5856","2589-0360","URBAN STUDIES","ESCI","1,134","5","Q1","1.53","99.19"%,
"JOURNAL OF URBAN ECONOMICS","J URBAN ECON","ACADEMIC PRESS INC ELSEVIER SCIENCE","0094-1190","1095-9068","URBAN STUDIES","SSCI","7,274","4.8","Q1","1.79","30.06"%,
"JOURNAL OF URBAN TECHNOLOGY","J URBAN TECHNOL","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1063-0732","1466-1853","URBAN STUDIES","SSCI","1,780","4.4","Q1","0.91","24.29"%,
"URBAN STUDIES","URBAN STUD","SAGE PUBLICATIONS LTD","0042-0980","1360-063X","URBAN STUDIES","SSCI","16,324","4.1","Q1","1.05","42.4"%,
"JOURNAL OF THE AMERICAN PLANNING ASSOCIATION","J AM PLANN ASSOC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0194-4363","1939-0130","URBAN STUDIES","SSCI","5,535","3.4","Q1","0.78","31.78"%,
"EUROPEAN PLANNING STUDIES","EUR PLAN STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0965-4313","1469-5944","URBAN STUDIES","SSCI","5,819","3.2","Q1","0.75","37.92"%,
"Planning Theory & Practice","PLAN THEORY PRACT","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1464-9357","1470-000X","URBAN STUDIES","SSCI","1,677","3.2","Q1","0.55","40.28"%,
"Environment and Planning B-Urban Analytics and City Science","ENVIRON PLAN B-URBAN","SAGE PUBLICATIONS LTD","2399-8083","2399-8091","URBAN STUDIES","SSCI","6,639","3.1","Q1","0.76","28.54"%,
"City & Community","CITY COMMUNITY","SAGE PUBLICATIONS INC","1535-6841","1540-6040","URBAN STUDIES","SSCI","1,596","3","Q1","1.03","14.58"%,
"INTERNATIONAL JOURNAL OF URBAN SCIENCES","INT J URBAN SCI","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1226-5934","2161-6779","URBAN STUDIES","SSCI","1,104","3","Q1","0.74","8.2"%,
"REGIONAL SCIENCE AND URBAN ECONOMICS","REG SCI URBAN ECON","ELSEVIER","0166-0462","1879-2308","URBAN STUDIES","SSCI","4,813","2.9","Q1","0.96","22.93"%,
"HOUSING POLICY DEBATE","HOUS POLICY DEBATE","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1051-1482","2152-050X","URBAN STUDIES","SSCI","2,503","2.9","Q1","0.78","11.27"%,
"Urban Science","URBAN SCI","MDPI","N/A","2413-8851","URBAN STUDIES","ESCI","1,949","2.9","Q1","0.7","99.79"%,
"HOUSING STUDIES","HOUSING STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0267-3037","1466-1810","URBAN STUDIES","SSCI","4,544","2.9","Q1","0.59","37.17"%,
"Local Environment","LOCAL ENVIRON","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1354-9839","1469-6711","URBAN STUDIES","SSCI","3,645","2.8","Q2","0.63","27.24"%,
"URBAN GEOGRAPHY","URBAN GEOGR","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0272-3638","1938-2847","URBAN STUDIES","SSCI","4,801","2.6","Q2","0.93","30.51"%,
"EUROPEAN URBAN AND REGIONAL STUDIES","EUR URBAN REG STUD","SAGE PUBLICATIONS LTD","0969-7764","1461-7145","URBAN STUDIES","SSCI","1,655","2.6","Q2","0.77","40.26"%,
"International Journal of Housing Policy","INT J HOUS POLICY","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1949-1247","1949-1255","URBAN STUDIES","SSCI","999","2.6","Q2","0.53","32.73"%,
