"Journal Data Filtered By:  Selected Categories: WOMENS STUDIES Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"Politics & Gender","POLIT GENDER","CAMBRIDGE UNIV PRESS","1743-923X","1743-9248","WOMENS STUDIES","SSCI","2,194","3.5","Q1","1.53","54.17"%,
"GENDER & SOCIETY","GENDER SOC","SAGE PUBLICATIONS INC","0891-2432","1552-3977","WOMENS STUDIES","SSCI","7,172","3.4","Q1","3.07","31.18"%,
"SEX ROLES","SEX ROLES","SPRINGER/PLENUM PUBLISHERS","0360-0025","1573-2762","WOMENS STUDIES","SSCI","10,949","3.4","Q1","1.44","33.58"%,
"PSYCHOLOGY OF WOMEN QUARTERLY","PSYCHOL WOMEN QUART","SAGE PUBLICATIONS LTD","0361-6843","1471-6402","WOMENS STUDIES","SSCI","5,165","3","Q1","1.49","16.49"%,
"GENDER WORK AND ORGANIZATION","GENDER WORK ORGAN","WILEY","0968-6673","1468-0432","WOMENS STUDIES","SSCI","5,544","3","Q1","1.39","62.26"%,
"Gender in Management","GEND MANAG","EMERALD GROUP PUBLISHING LTD","1754-2413","1754-2421","WOMENS STUDIES","SSCI","2,244","2.6","Q1","0.86","9.66"%,
"WOMENS HEALTH ISSUES","WOMEN HEALTH ISS","ELSEVIER SCIENCE INC","1049-3867","1878-4321","WOMENS STUDIES","SSCI","3,221","2.5","Q1","1.18","11.22"%,
"Frontiers in Global Womens Health","FRONT GLOB WOMEN HLT","FRONTIERS MEDIA SA","N/A","2673-5059","WOMENS STUDIES","ESCI","1,277","2.4","Q1","0.94","99.8"%,
"European Journal of Politics and Gender","EUR J POLIT GENDER","BRISTOL UNIV PRESS & POLICY PRESS","2515-1088","2515-1096","WOMENS STUDIES","ESCI","479","2.3","Q1","1.21","15.65"%,
"Feminist Anthropology","FEM ANTHROPOL","WILEY","2643-7961","2643-7961","WOMENS STUDIES","ESCI","259","2.2","Q1","1.44","35.53"%,
"Equality Diversity and Inclusion","EQUAL DIVERS INCL","EMERALD GROUP PUBLISHING LTD","2040-7149","2040-7157","WOMENS STUDIES","ESCI","1,842","2.2","Q1","0.76","8.37"%,
"FRONTIERS-A JOURNAL OF WOMEN STUDIES","FRONTIERS","UNIV NEBRASKA PRESS","0160-9009","1536-0334","WOMENS STUDIES","SSCI","749","2.1","Q1","0.15","0"%,
"FEMINIST ECONOMICS","FEM ECON","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1354-5701","1466-4372","WOMENS STUDIES","SSCI","2,407","2","Q1","1.32","18.18"%,
"WOMENS STUDIES INTERNATIONAL FORUM","WOMEN STUD INT FORUM","PERGAMON-ELSEVIER SCIENCE LTD","0277-5395","1879-243X","WOMENS STUDIES","SSCI","3,010","1.9","Q1","1.27","33.04"%,
