jcr_year,schema,category,edition,journal_name,jcr_abbrev,publisher,issn_print,issn_e,total_citations,jif,quartile,jci,oa_citable_pct
2024,WOS,SOCIOLOGY,SSCI,Annual Review of Sociology,ANNU REV SOCIOL,ANNUAL REVIEWS,0360-0572,1545-2115,16679,9,Q1,4.13,62.65
2024,WOS,SOCIOLOGY,SSCI,ANNALS OF TOURISM RESEARCH,ANN TOURISM RES,PERGAMON-ELSEVIER SCIENCE LTD,0160-7383,1873-7722,18474,7.8,Q1,2.99,33.24
2024,WOS,SOCIOLOGY,SSCI,SOCIOLOGICAL METHODS & RESEARCH,SOCIOL METHOD RES,SAGE PUBLICATIONS INC,0049-1241,1552-8294,8621,6.5,Q1,2.9,27.42
2024,WOS,SOCIOLOGY,SSCI,AMERICAN SOCIOLOGICAL REVIEW,AM SOCIOL REV,SAGE PUBLICATIONS INC,0003-1224,1939-8271,24369,6.2,Q1,3.72,29.36
2024,WOS,SOCIOLOGY,SSCI,SOCIOLOGICAL THEORY,SOCIOL THEOR,SAGE PUBLICATIONS INC,0735-2751,1467-9558,3954,5,Q1,2.5,18
2024,WOS,SOCIOLOGY,SSCI,POPULATION AND DEVELOPMENT REVIEW,POPUL DEV REV,WILEY,0098-7921,1728-4457,6014,4.8,Q1,2.19,54.88
2024,WOS,SOCIOLOGY,SSCI,ECONOMY AND SOCIETY,ECON SOC,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0308-5147,1469-5766,3221,4.3,Q1,1.36,50.6
2024,WOS,SOCIOLOGY,SSCI,WORK EMPLOYMENT AND SOCIETY,WORK EMPLOY SOC,SAGE PUBLICATIONS LTD,0950-0170,1469-8722,4823,3.8,Q1,1.22,59.32
2024,WOS,SOCIOLOGY,SSCI,WORK AND OCCUPATIONS,WORK OCCUPATION,SAGE PUBLICATIONS INC,0730-8884,1552-8464,1794,3.7,Q1,1.93,33.82
2024,WOS,SOCIOLOGY,SSCI,SOCIOLOGIA RURALIS,SOCIOL RURALIS,WILEY,0038-0199,1467-9523,2853,3.7,Q1,1.48,70
2024,WOS,SOCIOLOGY,SSCI,AMERICAN JOURNAL OF SOCIOLOGY,AM J SOCIOL,UNIV CHICAGO PRESS,0002-9602,1537-5390,21533,3.6,Q1,1.99,0
2024,WOS,SOCIOLOGY,SSCI,AGRICULTURE AND HUMAN VALUES,AGR HUM VALUES,SPRINGER,0889-048X,1572-8366,4322,3.6,Q1,1.95,54.24
2024,WOS,SOCIOLOGY,SSCI,JOURNAL OF HEALTH AND SOCIAL BEHAVIOR,J HEALTH SOC BEHAV,SAGE PUBLICATIONS INC,0022-1465,2150-6000,10931,3.6,Q1,1.88,23.77
