jcr_year,schema,category,edition,journal_name,jcr_abbrev,publisher,issn_print,issn_e,total_citations,jif,quartile,jci,oa_citable_pct
2024,WOS,ANTHROPOLOGY,SSCI,JOURNAL OF PEASANT STUDIES,J PEASANT STUD,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0306-6150,1743-9361,5731,5,Q1,2.23,31.75
2024,WOS,ANTHROPOLOGY,SSCI,JOURNAL OF ARCHAEOLOGICAL RESEARCH,J ARCHAEOL RES,SPRINGER,1059-0161,1573-7756,1020,4.1,Q1,3.25,42.42
2024,WOS,ANTHROPOLOGY,SSCI,JOURNAL OF WORLD PREHISTORY,J WORLD PREHIST,SPRINGER,0892-7537,1573-7802,833,3.1,Q1,2.64,73.91
2024,WOS,ANTHROPOLOGY,SSCI,JOURNAL OF HUMAN EVOLUTION,J HUM EVOL,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,0047-2484,1095-8606,7834,3.1,Q1,1.59,21.4
2024,WOS,ANTHROPOLOGY,SSCI,EVOLUTIONARY ANTHROPOLOGY,EVOL ANTHROPOL,WILEY,1060-1538,1520-6505,2070,3.1,Q1,1.49,23.73
2024,WOS,ANTHROPOLOGY,SSCI,JOURNAL OF ARCHAEOLOGICAL METHOD AND THEORY,J ARCHAEOL METHOD TH,SPRINGER,1072-5369,1573-7764,2023,2.8,Q1,2.15,53.85
2024,WOS,ANTHROPOLOGY,SSCI,RACE & CLASS,RACE CLASS,SAGE PUBLICATIONS LTD,0306-3968,1741-3125,1158,2.8,Q1,1.22,38.1
2024,WOS,ANTHROPOLOGY,ESCI,Anthropology Today,ANTHROPOL TODAY,WILEY,0268-540X,1467-8322,774,2.8,Q1,1.15,53.01
2024,WOS,ANTHROPOLOGY,SSCI,Annual Review of Anthropology,ANNU REV ANTHROPOL,ANNUAL REVIEWS,0084-6570,1545-4290,6062,2.7,Q1,1.41,54.22
2024,WOS,ANTHROPOLOGY,SSCI,Transcultural Psychiatry,TRANSCULT PSYCHIATRY,SAGE PUBLICATIONS LTD,1363-4615,1461-7471,2548,2.7,Q1,1,27.33
2024,WOS,ANTHROPOLOGY,ESCI,Journal of Paleolithic Archaeology,J PALEOLITH ARCHAEOL,SPRINGERNATURE,,2520-8217,392,2.6,Q1,1.8,64.84
2024,WOS,ANTHROPOLOGY,SSCI,JOURNAL OF ARCHAEOLOGICAL SCIENCE,J ARCHAEOL SCI,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,0305-4403,1095-9238,14383,2.5,Q1,1.67,42.35
2024,WOS,ANTHROPOLOGY,SSCI,SOCIAL NETWORKS,SOC NETWORKS,ELSEVIER,0378-8733,1879-2111,6786,2.4,Q1,1.74,41.62
2024,WOS,ANTHROPOLOGY,ESCI,Evolutionary Human Sciences,EVOL HUM SCI,CAMBRIDGE UNIV PRESS,,2513-843X,556,2.3,Q1,1.1,100
2024,WOS,ANTHROPOLOGY,SSCI,Journal of Anthropological Sciences,J ANTHROPOL SCI,IST ITALIANO ANTROPOLOGIA,1827-4765,2037-0644,334,2.3,Q1,1.1,0
2024,WOS,ANTHROPOLOGY,SSCI,JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY,J ANTHROPOL ARCHAEOL,ACADEMIC PRESS INC ELSEVIER SCIENCE,0278-4165,1090-2686,2624,2.2,Q1,1.63,30.43
2024,WOS,ANTHROPOLOGY,ESCI,Feminist Anthropology,FEM ANTHROPOL,WILEY,2643-7961,2643-7961,259,2.2,Q1,1.44,35.53
2024,WOS,ANTHROPOLOGY,SSCI,GLOBAL NETWORKS-A JOURNAL OF TRANSNATIONAL AFFAIRS,GLOBAL NETW,WILEY,1470-2266,1471-0374,2105,2.2,Q1,1.3,55.63
2024,WOS,ANTHROPOLOGY,SSCI,HUMAN NATURE-AN INTERDISCIPLINARY BIOSOCIAL PERSPECTIVE,HUM NATURE-INT BIOS,SPRINGER,1045-6767,1936-4776,1824,2.2,Q1,1.1,52.38
2024,WOS,ANTHROPOLOGY,SSCI,AMERICAN ETHNOLOGIST,AM ETHNOL,WILEY,0094-0496,1548-1425,3724,2,Q1,1.5,53.13
2024,WOS,ANTHROPOLOGY,SSCI,Archaeological and Anthropological Sciences,ARCHAEOL ANTHROP SCI,SPRINGER HEIDELBERG,1866-9557,1866-9565,3793,2,Q1,1.31,49.59
2024,WOS,ANTHROPOLOGY,SSCI,American Journal of Biological Anthropology,AM J BIOL ANTHROPOL,WILEY,2692-7691,2692-7691,749,2,Q1,0.96,40
2024,WOS,ANTHROPOLOGY,SSCI,AMERICAN ANTIQUITY,AM ANTIQUITY,CAMBRIDGE UNIV PRESS,0002-7316,2325-5064,3533,1.9,Q1,1.85,49.41
2024,WOS,ANTHROPOLOGY,SSCI,CULTURAL ANTHROPOLOGY,CULT ANTHROPOL,SOC CULTURAL ANTHROPOLOGY,0886-7356,1548-1360,3545,1.9,Q1,1.46,100
2024,WOS,ANTHROPOLOGY,SSCI,MEDICAL ANTHROPOLOGY QUARTERLY,MED ANTHROPOL Q,WILEY,0745-5194,1548-1387,1490,1.9,Q1,0.92,46.99
2024,WOS,ANTHROPOLOGY,SSCI,CURRENT ANTHROPOLOGY,CURR ANTHROPOL,UNIV CHICAGO PRESS,0011-3204,1537-5382,6641,1.8,Q1,1.45,3.08
2024,WOS,ANTHROPOLOGY,SSCI,CULTURE MEDICINE AND PSYCHIATRY,CULT MED PSYCHIAT,SPRINGER,0165-005X,1573-076X,1563,1.8,Q1,0.74,34.78
2024,WOS,ANTHROPOLOGY,SSCI,ANTIQUITY,ANTIQUITY,CAMBRIDGE UNIV PRESS,0003-598X,1745-1744,4257,1.7,Q1,1.48,63.49
2024,WOS,ANTHROPOLOGY,SSCI,AMERICAN ANTHROPOLOGIST,AM ANTHROPOL,WILEY,0002-7294,1548-1433,5595,1.7,Q1,1.38,37.93
2024,WOS,ANTHROPOLOGY,ESCI,PaleoAmerica,PALEOAMERICA,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2055-5563,2055-5571,309,1.7,Q1,1.21,5
