jcr_year,schema,category,edition,journal_name,jcr_abbrev,publisher,issn_print,issn_e,total_citations,jif,quartile,jci,oa_citable_pct
2024,WOS,ECONOMICS,SSCI,Energy Economics,ENERG ECON,ELSEVIER,0140-9883,1873-6181,53243,14.2,Q1,4.59,22.01
2024,WOS,ECONOMICS,SSCI,QUARTERLY JOURNAL OF ECONOMICS,Q J ECON,OXFORD UNIV PRESS INC,0033-5533,1531-4650,40723,12.7,Q1,4.5,19.86
2024,WOS,ECONOMICS,SSCI,JOURNAL OF FINANCIAL ECONOMICS,J FINANC ECON,ELSEVIER SCIENCE SA,0304-405X,,54554,12,Q1,3.18,20.45
2024,WOS,ECONOMICS,SSCI,AMERICAN ECONOMIC REVIEW,AM ECON REV,AMER ECONOMIC ASSOC,0002-8282,1944-7981,74985,11.6,Q1,3.28,1.25
2024,WOS,ECONOMICS,SSCI,Annual Review of Economics,ANNU REV ECON,ANNUAL REVIEWS,1941-1383,1941-1391,4469,11.4,Q1,2.26,63.1
2024,WOS,ECONOMICS,SSCI,Oeconomia Copernicana,OECON COPERNIC,INST BADAN GOSPODARCZYCH,2083-1277,2353-1827,1237,10.8,Q1,2.98,99.09
2024,WOS,ECONOMICS,SSCI,NBER Macroeconomics Annual,NBER MACROECON ANNU,UNIV CHICAGO PRESS,0889-3365,1537-2642,876,10.7,Q1,2.54,0
2024,WOS,ECONOMICS,SSCI,JOURNAL OF ECONOMIC LITERATURE,J ECON LIT,AMER ECONOMIC ASSOC,0022-0515,2328-8175,12794,10.6,Q1,3.52,0
2024,WOS,ECONOMICS,SSCI,JOURNAL OF FINANCE,J FINANC,WILEY,0022-1082,1540-6261,50071,9.5,Q1,2.72,17.23
2024,WOS,ECONOMICS,SSCI,Energy Policy,ENERG POLICY,ELSEVIER SCI LTD,0301-4215,1873-6777,68208,9.2,Q1,2.09,33.62
2024,WOS,ECONOMICS,SSCI,ECONOMIC GEOGRAPHY,ECON GEOGR,TAYLOR & FRANCIS LTD,0013-0095,1944-8287,4944,8.9,Q1,2.06,39.62
2024,WOS,ECONOMICS,SSCI,JOURNAL OF ECONOMIC PERSPECTIVES,J ECON PERSPECT,AMER ECONOMIC ASSOC,0895-3309,1944-7965,20002,8.8,Q1,2.48,87.2
2024,WOS,ECONOMICS,SSCI,TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,TRANSPORT RES E-LOG,PERGAMON-ELSEVIER SCIENCE LTD,1366-5545,1878-5794,20266,8.8,Q1,2.03,12.9
2024,WOS,ECONOMICS,SSCI,Economic Analysis and Policy,ECON ANAL POLICY,ELSEVIER,0313-5926,0313-5926,8852,8.7,Q1,2.96,12.72
2024,WOS,ECONOMICS,SSCI,Review of Finance,REV FINANC,OXFORD UNIV PRESS,1572-3097,1573-692X,4778,8.4,Q1,2.04,22.15
2024,WOS,ECONOMICS,SSCI,Annual Review of Resource Economics,ANNU REV RESOUR ECON,ANNUAL REVIEWS,1941-1340,1941-1359,2316,8.4,Q1,1.3,56.16
