jcr_year,schema,category,edition,journal_name,jcr_abbrev,publisher,issn_print,issn_e,total_citations,jif,quartile,jci,oa_citable_pct
2024,WOS,AREA STUDIES,SSCI,European Security,EUR SECUR,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0966-2839,1746-1545,934,3.6,Q1,1.98,57.28
2024,WOS,AREA STUDIES,SSCI,Journal of Chinese Political Science,J CHIN POLIT SCI,SPRINGER,1080-6954,1874-6357,1028,3.5,Q1,3.32,13.83
2024,WOS,AREA STUDIES,SSCI,CHINA JOURNAL,CHINA J,UNIV CHICAGO PRESS,1324-9347,1835-8535,942,3.4,Q1,4.34,0
2024,WOS,AREA STUDIES,SSCI,East European Politics,EAST EUR POLITICS,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2159-9165,2159-9173,993,3.1,Q1,1.98,43.48
2024,WOS,AREA STUDIES,SSCI,POST-SOVIET AFFAIRS,POST-SOV AFF,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1060-586X,1938-2855,1005,3,Q1,1.79,28.41
2024,WOS,AREA STUDIES,SSCI,CHINA QUARTERLY,CHINA QUART,CAMBRIDGE UNIV PRESS,0305-7410,1468-2648,3888,2.5,Q1,2.8,61.21
2024,WOS,AREA STUDIES,SSCI,Journal of Contemporary China,J CONTEMP CHINA,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1067-0564,1469-9400,2654,2.4,Q1,2.69,14.36
2024,WOS,AREA STUDIES,SSCI,BULLETIN OF INDONESIAN ECONOMIC STUDIES,B INDONES ECON STUD,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0007-4918,1472-7234,568,2.3,Q1,1.78,12.82
2024,WOS,AREA STUDIES,SSCI,Africa Spectrum,AFR SPECTR,SAGE PUBLICATIONS INC,0002-0397,1868-6869,485,2.2,Q1,2.23,100
2024,WOS,AREA STUDIES,SSCI,AFRICAN AFFAIRS,AFR AFFAIRS,OXFORD UNIV PRESS,0001-9909,1468-2621,1942,2.2,Q1,1.85,47.89
