jcr_year,schema,category,edition,journal_name,jcr_abbrev,publisher,issn_print,issn_e,total_citations,jif,quartile,jci,oa_citable_pct
2024,WOS,COMMUNICATION,SSCI,JOURNAL OF ADVERTISING,J ADVERTISING,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0091-3367,1557-7805,7234,7,Q1,1.91,12.4
2024,WOS,COMMUNICATION,SSCI,TELECOMMUNICATIONS POLICY,TELECOMMUN POLICY,ELSEVIER SCI LTD,0308-5961,1879-3258,5212,6.4,Q1,2.3,27.53
2024,WOS,COMMUNICATION,SSCI,COMMUNICATION THEORY,COMMUN THEOR,OXFORD UNIV PRESS INC,1050-3293,1468-2885,3815,6.2,Q1,2.28,46.3
2024,WOS,COMMUNICATION,SSCI,International Journal of Advertising,INT J ADVERT,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0265-0487,1759-3948,5191,5.9,Q1,1.84,12.5
2024,WOS,COMMUNICATION,SSCI,Journal of Computer-Mediated Communication,J COMPUT-MEDIAT COMM,OXFORD UNIV PRESS INC,1083-6101,1083-6101,5722,5.7,Q1,2.2,100
2024,WOS,COMMUNICATION,SSCI,JOURNAL OF COMMUNICATION,J COMMUN,OXFORD UNIV PRESS INC,0021-9916,1460-2466,10234,5.5,Q1,2.67,27.2
2024,WOS,COMMUNICATION,SSCI,Digital Journalism,DIGIT JOURNAL,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2167-0811,2167-082X,5347,5.4,Q1,2.3,32.55
2024,WOS,COMMUNICATION,SSCI,POLITICAL COMMUNICATION,POLIT COMMUN,TAYLOR & FRANCIS INC,1058-4609,1091-7675,4004,5.1,Q1,2.51,27.61
2024,WOS,COMMUNICATION,SSCI,Social Media + Society,SOC MEDIA SOC,SAGE PUBLICATIONS LTD,2056-3051,2056-3051,7355,4.9,Q1,2.47,98.75
2024,WOS,COMMUNICATION,ESCI,Journal of Marketing Communications,J MARK COMMUN,TAYLOR & FRANCIS LTD,1352-7266,1466-4445,2112,4.6,Q1,1.83,7.14
2024,WOS,COMMUNICATION,ESCI,Annals of the International Communication Association,ANN INT COMMUN ASSOC,TAYLOR & FRANCIS LTD,2380-8985,2380-8977,1531,4.4,Q1,2.04,17.24
2024,WOS,COMMUNICATION,SSCI,International Journal of Press-Politics,INT J PRESS/POLIT,SAGE PUBLICATIONS INC,1940-1612,1940-1620,2666,4.3,Q1,2,31.69
2024,WOS,COMMUNICATION,SSCI,NEW MEDIA & SOCIETY,NEW MEDIA SOC,SAGE PUBLICATIONS LTD,1461-4448,1461-7315,15253,4.3,Q1,1.99,41.75
2024,WOS,COMMUNICATION,SSCI,SCIENCE COMMUNICATION,SCI COMMUN,SAGE PUBLICATIONS INC,1075-5470,1552-8545,2730,4.1,Q1,1.69,23.4
2024,WOS,COMMUNICATION,SSCI,Environmental Communication-A Journal of Nature and Culture,ENVIRON COMMUN,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1752-4032,1752-4040,2929,4.1,Q1,1.11,25.93
2024,WOS,COMMUNICATION,SSCI,Communication Methods and Measures,COMMUN METHODS MEAS,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1931-2458,1931-2466,2410,3.7,Q1,2.48,34.62
2024,WOS,COMMUNICATION,SSCI,Policy and Internet,POLICY INTERNET,WILEY,1944-2866,1944-2866,1348,3.6,Q1,1.73,60.8
2024,WOS,COMMUNICATION,SSCI,JOURNALISM & MASS COMMUNICATION QUARTERLY,J MASS COMMUN Q,SAGE PUBLICATIONS INC,1077-6990,2161-430X,3595,3.6,Q1,1.41,16.56
2024,WOS,COMMUNICATION,SSCI,Journal of Public Relations Research,J PUBLIC RELAT RES,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1062-726X,1532-754X,1756,3.4,Q1,1.68,5.95
2024,WOS,COMMUNICATION,ESCI,Global Media and China,GLOB MEDIA CHINA,SAGE PUBLICATIONS LTD,2059-4364,2059-4372,528,3.4,Q1,1.53,96.05
2024,WOS,COMMUNICATION,SSCI,PUBLIC RELATIONS REVIEW,PUBLIC RELAT REV,ELSEVIER SCIENCE INC,0363-8111,1873-4537,5622,3.4,Q1,1.26,13.91
2024,WOS,COMMUNICATION,SSCI,PUBLIC UNDERSTANDING OF SCIENCE,PUBLIC UNDERST SCI,SAGE PUBLICATIONS LTD,0963-6625,1361-6609,3998,3.3,Q1,2.27,34.85
2024,WOS,COMMUNICATION,SSCI,HUMAN COMMUNICATION RESEARCH,HUM COMMUN RES,OXFORD UNIV PRESS INC,0360-3989,1468-2958,4591,3.3,Q1,1.84,20.35
2024,WOS,COMMUNICATION,SSCI,Information Communication & Society,INFORM COMMUN SOC,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1369-118X,1468-4462,9069,3.3,Q1,1.68,33.16
2024,WOS,COMMUNICATION,SSCI,MEDIA CULTURE & SOCIETY,MEDIA CULT SOC,SAGE PUBLICATIONS LTD,0163-4437,1460-3675,4391,3.3,Q1,1.55,37.12
2024,WOS,COMMUNICATION,ESCI,Internet Policy Review,INTERNET POLICY REV,ALEXANDER VON HUMBOLDT INST INTERNET & SOC,2197-6775,2197-6775,1506,3.2,Q1,2.95,98.29
