jcr_year,schema,category,edition,journal_name,jcr_abbrev,publisher,issn_print,issn_e,total_citations,jif,quartile,jci,oa_citable_pct
2024,WOS,DEMOGRAPHY,SSCI,POPULATION AND DEVELOPMENT REVIEW,POPUL DEV REV,WILEY,0098-7921,1728-4457,6014,4.8,Q1,2.19,54.88
2024,WOS,DEMOGRAPHY,SSCI,Comparative Migration Studies,COMP MIGR STUD,SPRINGERNATURE,,2214-594X,1631,3.7,Q1,1.89,100
2024,WOS,DEMOGRAPHY,SSCI,DEMOGRAPHY,DEMOGRAPHY,DUKE UNIV PRESS,0070-3370,1533-7790,9329,3.6,Q1,1.84,94.42
2024,WOS,DEMOGRAPHY,SSCI,PERSPECTIVES ON SEXUAL AND REPRODUCTIVE HEALTH,PERSPECT SEX REPRO H,WILEY,1538-6341,1931-2393,1294,3.5,Q1,1.88,49.35
2024,WOS,DEMOGRAPHY,SSCI,JOURNAL OF ETHNIC AND MIGRATION STUDIES,J ETHN MIGR STUD,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1369-183X,1469-9451,10838,3.1,Q1,1.77,40.18
2024,WOS,DEMOGRAPHY,SSCI,STUDIES IN FAMILY PLANNING,STUD FAMILY PLANN,WILEY,0039-3665,1728-4465,1843,3.1,Q1,1.02,53.95
2024,WOS,DEMOGRAPHY,SSCI,JOURNAL OF POPULATION ECONOMICS,J POPUL ECON,SPRINGER,0933-1433,1432-1475,3324,3,Q1,1.44,47.37
2024,WOS,DEMOGRAPHY,SSCI,Migration Studies,MIGR STUD,OXFORD UNIV PRESS,2049-5838,2049-5846,1076,2.7,Q1,1.1,49.21
2024,WOS,DEMOGRAPHY,SSCI,European Journal of Population-Revue Europeenne de Demographie,EUR J POPUL,SPRINGER,0168-6577,1572-9885,1794,2.6,Q1,1.24,92.52
2024,WOS,DEMOGRAPHY,SSCI,Population Space and Place,POPUL SPACE PLACE,WILEY,1544-8444,1544-8452,3516,2.6,Q1,1.04,54.58
2024,WOS,DEMOGRAPHY,SSCI,POPULATION AND ENVIRONMENT,POPUL ENVIRON,SPRINGER,0199-0039,1573-7810,1967,2.5,Q1,1.03,40.79
2024,WOS,DEMOGRAPHY,SSCI,INTERNATIONAL MIGRATION REVIEW,INT MIGR REV,SAGE PUBLICATIONS INC,0197-9183,1747-7379,4961,2.4,Q1,1.19,31.06
2024,WOS,DEMOGRAPHY,SSCI,POPULATION STUDIES-A JOURNAL OF DEMOGRAPHY,POP STUD-J DEMOG,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0032-4728,1477-4747,2082,2.2,Q2,1.04,53.33
2024,WOS,DEMOGRAPHY,ESCI,Refugee Survey Quarterly,REFUG SURV Q,OXFORD UNIV PRESS,1020-4067,1471-695X,906,2.2,Q2,0.83,49.32
2024,WOS,DEMOGRAPHY,SSCI,INTERNATIONAL MIGRATION,INT MIGR,WILEY,0020-7985,1468-2435,3384,2.1,Q2,0.81,49.27
2024,WOS,DEMOGRAPHY,SSCI,EUROPEAN JOURNAL OF MIGRATION AND LAW,EUR J MIGR LAW,BRILL,1388-364X,1571-8166,499,2,Q2,1.36,32.26
2024,WOS,DEMOGRAPHY,SSCI,Demographic Research,DEMOGR RES,MAX PLANCK INST DEMOGRAPHIC RESEARCH,1435-9871,2363-7064,3909,2,Q2,1.05,100
2024,WOS,DEMOGRAPHY,SSCI,Journal of the Economics of Ageing,J ECON AGEING,ELSEVIER,2212-828X,2212-8298,707,2,Q2,0.74,36.73
2024,WOS,DEMOGRAPHY,SSCI,Journal of Refugee Studies,J REFUG STUD,OXFORD UNIV PRESS,0951-6328,1471-6925,3138,1.9,Q2,1.11,47.8
2024,WOS,DEMOGRAPHY,ESCI,Journal of International Migration and Integration,J INT MIGR INTEGR,SPRINGER HEIDELBERG,1488-3473,1874-6365,1919,1.8,Q2,0.76,46.59
2024,WOS,DEMOGRAPHY,ESCI,GENUS,GENUS,SPRINGERNATURE,,2035-5556,722,1.7,Q2,1.07,100
2024,WOS,DEMOGRAPHY,ESCI,Comparative Population Studies,COMP POPUL STUD,BUNDESINSTITUT BEVOELKERUNGSFORSCHUNG,1869-8980,1869-8999,359,1.6,Q2,0.82,100
2024,WOS,DEMOGRAPHY,SSCI,Asian Population Studies,ASIAN POPUL STUD,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1744-1730,1744-1749,541,1.6,Q2,0.79,20
2024,WOS,DEMOGRAPHY,SSCI,POPULATION RESEARCH AND POLICY REVIEW,POPUL RES POLICY REV,SPRINGER,0167-5923,1573-7829,2078,1.5,Q2,1.03,34.51
2024,WOS,DEMOGRAPHY,SSCI,Journal of Immigrant & Refugee Studies,J IMMIGR REFUG STUD,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1556-2948,1556-2956,1113,1.5,Q2,0.71,28.92
2024,WOS,DEMOGRAPHY,SSCI,POPULATION,POPULATION-PARIS,INST NATL D ETUDES DEMOGRAPHIQUES,0032-4663,1957-7966,728,1.5,Q2,0.4,26.32
