jcr_year,schema,category,edition,journal_name,jcr_abbrev,publisher,issn_print,issn_e,total_citations,jif,quartile,jci,oa_citable_pct
2024,WOS,ENVIRONMENTAL STUDIES,SSCI,Nature Climate Change,NAT CLIM CHANGE,NATURE PORTFOLIO,1758-678X,1758-6798,53557,27.1,Q1,5.83,29.52
2024,WOS,ENVIRONMENTAL STUDIES,SSCI,Nature Sustainability,NAT SUSTAIN,NATURE PORTFOLIO,2398-9629,2398-9629,24660,27.1,Q1,5.22,22.81
2024,WOS,ENVIRONMENTAL STUDIES,SSCI,Annual Review of Environment and Resources,ANNU REV ENV RESOUR,ANNUAL REVIEWS,1543-5938,1545-2050,8211,16,Q1,1.55,100
2024,WOS,ENVIRONMENTAL STUDIES,SSCI,One Earth,ONE EARTH,CELL PRESS,2590-3330,2590-3322,8018,15.3,Q1,1.89,40.25
2024,WOS,ENVIRONMENTAL STUDIES,SSCI,Business Strategy and the Environment,BUS STRATEG ENVIRON,WILEY,0964-4733,1099-0836,30263,13.3,Q1,2.76,41.48
2024,WOS,ENVIRONMENTAL STUDIES,SSCI,Tourism Management,TOURISM MANAGE,ELSEVIER SCI LTD,0261-5177,1879-3193,34184,12.4,Q1,2.95,21.66
2024,WOS,ENVIRONMENTAL STUDIES,SSCI,Environmental Impact Assessment Review,ENVIRON IMPACT ASSES,ELSEVIER SCIENCE INC,0195-9255,1873-6432,13886,11.2,Q1,2.42,15.07
2024,WOS,ENVIRONMENTAL STUDIES,SSCI,Wiley Interdisciplinary Reviews-Climate Change,WIRES CLIM CHANGE,WILEY,1757-7780,1757-7799,8692,10.3,Q1,1.54,76.03
2024,WOS,ENVIRONMENTAL STUDIES,SSCI,Sustainable Production and Consumption,SUSTAIN PROD CONSUMP,ELSEVIER,2352-5509,2352-5509,15572,9.6,Q1,2.06,38.52
2024,WOS,ENVIRONMENTAL STUDIES,SSCI,LANDSCAPE AND URBAN PLANNING,LANDSCAPE URBAN PLAN,ELSEVIER,0169-2046,1872-6062,32710,9.2,Q1,2.4,40.92
2024,WOS,ENVIRONMENTAL STUDIES,SSCI,Energy Policy,ENERG POLICY,ELSEVIER SCI LTD,0301-4215,1873-6777,68208,9.2,Q1,2.09,33.62
2024,WOS,ENVIRONMENTAL STUDIES,SSCI,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,GLOBAL ENVIRON CHANG,ELSEVIER SCI LTD,0959-3780,1872-9495,26254,9.1,Q1,2.37,61.47
2024,WOS,ENVIRONMENTAL STUDIES,SSCI,Corporate Social Responsibility and Environmental Management,CORP SOC RESP ENV MA,WILEY,1535-3958,1535-3966,15559,9.1,Q1,1.98,26.7
2024,WOS,ENVIRONMENTAL STUDIES,SSCI,npj Urban Sustainability,NPJ URBAN SUSTAIN,SPRINGERNATURE,,2661-8001,1371,8.8,Q1,2.29,100
