jcr_year,schema,category,edition,journal_name,jcr_abbrev,publisher,issn_print,issn_e,total_citations,jif,quartile,jci,oa_citable_pct
2024,WOS,INDUSTRIAL RELATIONS & LABOR,SSCI,Human Resource Management Journal,HUM RESOUR MANAG J,WILEY,0954-5395,1748-8583,4354,6.2,Q1,1.53,60.71
2024,WOS,INDUSTRIAL RELATIONS & LABOR,SSCI,JOURNAL OF HUMAN RESOURCES,J HUM RESOUR,UNIV WISCONSIN PRESS,0022-166X,1548-8004,6561,6,Q1,2.39,27.72
2024,WOS,INDUSTRIAL RELATIONS & LABOR,SSCI,JOURNAL OF LABOR ECONOMICS,J LABOR ECON,UNIV CHICAGO PRESS,0734-306X,1537-5307,6076,5,Q1,1.51,3.28
2024,WOS,INDUSTRIAL RELATIONS & LABOR,SSCI,Asia Pacific Journal of Human Resources,ASIA PAC J HUM RESOU,WILEY,1038-4111,1744-7941,1472,4.5,Q1,1.25,17.5
2024,WOS,INDUSTRIAL RELATIONS & LABOR,SSCI,Human Resources for Health,HUM RESOUR HEALTH,BMC,,1478-4491,5122,4.3,Q1,1.32,100
2024,WOS,INDUSTRIAL RELATIONS & LABOR,SSCI,PERSONNEL REVIEW,PERS REV,EMERALD GROUP PUBLISHING LTD,0048-3486,1758-6933,5871,4.2,Q1,1.2,6.35
2024,WOS,INDUSTRIAL RELATIONS & LABOR,SSCI,Human Resource Development Quarterly,HUM RESOUR DEV Q,"WILEY PERIODICALS, INC",1044-8004,1532-1096,2150,3.8,Q1,1.27,32.61
2024,WOS,INDUSTRIAL RELATIONS & LABOR,SSCI,WORK EMPLOYMENT AND SOCIETY,WORK EMPLOY SOC,SAGE PUBLICATIONS LTD,0950-0170,1469-8722,4823,3.8,Q1,1.22,59.32
2024,WOS,INDUSTRIAL RELATIONS & LABOR,SSCI,WORK AND OCCUPATIONS,WORK OCCUPATION,SAGE PUBLICATIONS INC,0730-8884,1552-8464,1794,3.7,Q1,1.93,33.82
2024,WOS,INDUSTRIAL RELATIONS & LABOR,SSCI,Transfer-European Review of Labour and Research,TRANSFER-LONDON,SAGE PUBLICATIONS LTD,1024-2589,1996-7284,943,3.7,Q1,1.55,39.19
2024,WOS,INDUSTRIAL RELATIONS & LABOR,SSCI,ILR Review,ILR REV,SAGE PUBLICATIONS INC,0019-7939,2162-271X,3703,3.7,Q1,1.5,26.25
2024,WOS,INDUSTRIAL RELATIONS & LABOR,SSCI,INTERNATIONAL JOURNAL OF MANPOWER,INT J MANPOWER,EMERALD GROUP PUBLISHING LTD,0143-7720,1758-6577,3881,3.5,Q1,1.33,7.87
2024,WOS,INDUSTRIAL RELATIONS & LABOR,SSCI,EMPLOYEE RELATIONS,EMPL RELAT,EMERALD GROUP PUBLISHING LTD,0142-5455,1758-7069,3161,3.2,Q1,1.05,10.13
2024,WOS,INDUSTRIAL RELATIONS & LABOR,SSCI,PUBLIC PERSONNEL MANAGEMENT,PUBLIC PERS MANAGE,SAGE PUBLICATIONS INC,0091-0260,1945-7421,1276,2.6,Q2,1.11,21.62
2024,WOS,INDUSTRIAL RELATIONS & LABOR,SSCI,INTERNATIONAL LABOUR REVIEW,INT LABOUR REV,OPEN LIBRARY HUMANITIES,0020-7780,1564-913X,1220,2.6,Q2,0.98,20.45
2024,WOS,INDUSTRIAL RELATIONS & LABOR,SSCI,Journal of Industrial Relations,J IND RELAT,SAGE PUBLICATIONS INC,0022-1856,1472-9296,1051,2.6,Q2,0.97,38.46
