jcr_year,schema,category,edition,journal_name,jcr_abbrev,publisher,issn_print,issn_e,total_citations,jif,quartile,jci,oa_citable_pct
2024,WOS,"SOCIAL SCIENCES, INTERDISCIPLINARY",SSCI,International Journal of Transgender Health,INT J TRANSGEND HEAL,TAYLOR & FRANCIS INC,2689-5269,2689-5277,2255,14.8,Q1,2.59,28.11
2024,WOS,"SOCIAL SCIENCES, INTERDISCIPLINARY",SSCI,TECHNOLOGY IN SOCIETY,TECHNOL SOC,ELSEVIER SCI LTD,0160-791X,1879-3274,16227,12.5,Q1,4.98,24.14
2024,WOS,"SOCIAL SCIENCES, INTERDISCIPLINARY",SSCI,Adolescent Research Review,ADOLESC RES REV,SPRINGER INT PUBL AG,2363-8346,2363-8354,1350,8.1,Q1,1.32,69.86
2024,WOS,"SOCIAL SCIENCES, INTERDISCIPLINARY",SSCI,Journal of Mixed Methods Research,J MIX METHOD RES,SAGE PUBLICATIONS INC,1558-6898,1558-6901,2621,7.8,Q1,2.14,23.88
2024,WOS,"SOCIAL SCIENCES, INTERDISCIPLINARY",ESCI,Journal of Consumer Sciences,J CONSUM SCI,SOUTH AFRICAN ASSOC FAMILY ECOLOGY & CONSUMER SCIENCES-SAAFECS,,0378-5254,131,7.2,Q1,0.23,0
2024,WOS,"SOCIAL SCIENCES, INTERDISCIPLINARY",ESCI,Campbell Systematic Reviews,CAMPBELL SYST REV,WILEY,,1891-1803,2475,7.1,Q1,1.97,96.68
2024,WOS,"SOCIAL SCIENCES, INTERDISCIPLINARY",SSCI,ACCIDENT ANALYSIS AND PREVENTION,ACCIDENT ANAL PREV,PERGAMON-ELSEVIER SCIENCE LTD,0001-4575,1879-2057,31668,6.2,Q1,2.05,18.68
2024,WOS,"SOCIAL SCIENCES, INTERDISCIPLINARY",SSCI,Big Data & Society,BIG DATA SOC,SAGE PUBLICATIONS INC,2053-9517,2053-9517,5264,5.9,Q1,2.94,98.48
2024,WOS,"SOCIAL SCIENCES, INTERDISCIPLINARY",SSCI,HUMAN RELATIONS,HUM RELAT,SAGE PUBLICATIONS LTD,0018-7267,1741-282X,12747,5.4,Q1,1.87,45.93
2024,WOS,"SOCIAL SCIENCES, INTERDISCIPLINARY",SSCI,JOURNAL OF SAFETY RESEARCH,J SAFETY RES,PERGAMON-ELSEVIER SCIENCE LTD,0022-4375,1879-1247,6690,4.4,Q1,1.38,23.65
2024,WOS,"SOCIAL SCIENCES, INTERDISCIPLINARY",SSCI,RSF-The Russell Sage Journal of the Social Sciences,RSF-RUS SAGE J SOC S,RUSSELL SAGE FOUNDATION,2377-8253,2377-8261,1478,3.9,Q1,2.99,96.13
2024,WOS,"SOCIAL SCIENCES, INTERDISCIPLINARY",ESCI,Contemporary Social Science,CONTEMP SOC SCI,TAYLOR & FRANCIS LTD,2158-2041,2158-205X,948,3.9,Q1,1.74,61.11
2024,WOS,"SOCIAL SCIENCES, INTERDISCIPLINARY",ESCI,PNAS Nexus,PNAS NEXUS,OXFORD UNIV PRESS,,2752-6542,3154,3.8,Q1,1.95,99.05
2024,WOS,"SOCIAL SCIENCES, INTERDISCIPLINARY",SSCI,International Journal of Qualitative Methods,INT J QUAL METH,SAGE PUBLICATIONS INC,1609-4069,1609-4069,11775,3.8,Q1,1.9,97.71
2024,WOS,"SOCIAL SCIENCES, INTERDISCIPLINARY",SSCI,EVALUATION REVIEW,EVALUATION REV,SAGE PUBLICATIONS INC,0193-841X,1552-3926,1404,3.7,Q1,2.09,9.48
2024,WOS,"SOCIAL SCIENCES, INTERDISCIPLINARY",SSCI,POLICY SCIENCES,POLICY SCI,SPRINGER,0032-2687,1573-0891,3336,3.7,Q1,1.68,56.6
2024,WOS,"SOCIAL SCIENCES, INTERDISCIPLINARY",SSCI,European Journal of Futures Research,EUR J FUTURES RES,SPRINGER,2195-4194,2195-2248,532,3.7,Q1,1.48,100
2024,WOS,"SOCIAL SCIENCES, INTERDISCIPLINARY",ESCI,Research in Globalization,RES GLOB,ELSEVIER,,2590-051X,760,3.7,Q1,1.24,98.91
