jcr_year,schema,category,edition,journal_name,jcr_abbrev,publisher,issn_print,issn_e,total_citations,jif,quartile,jci,oa_citable_pct
2024,WOS,MANAGEMENT,SSCI,Annual Review of Organizational Psychology and Organizational Behavior,ANNU REV ORGAN PSYCH,ANNUAL REVIEWS,2327-0608,2327-0616,6408,31.1,Q1,8.73,68.42
2024,WOS,MANAGEMENT,SSCI,Academy of Management Annals,ACAD MANAG ANN,ACAD MANAGEMENT,1941-6520,1941-6067,10376,16.5,Q1,3.06,1.49
2024,WOS,MANAGEMENT,SSCI,Journal of Innovation & Knowledge,J INNOV KNOWL,ELSEVIER ESPANA,2530-7614,2444-569X,6367,15.5,Q1,3.81,99.36
2024,WOS,MANAGEMENT,SSCI,ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,ACAD MANAGEMENT,0363-7425,1930-3807,41552,13.9,Q1,3.82,1.98
2024,WOS,MANAGEMENT,SSCI,Business Strategy and the Environment,BUS STRATEG ENVIRON,WILEY,0964-4733,1099-0836,30263,13.3,Q1,2.76,41.48
2024,WOS,MANAGEMENT,SSCI,HUMAN RESOURCE MANAGEMENT REVIEW,HUM RESOUR MANAGE R,ELSEVIER,1053-4822,1873-7889,7242,13,Q1,2.15,28.89
2024,WOS,MANAGEMENT,SSCI,Tourism Management,TOURISM MANAGE,ELSEVIER SCI LTD,0261-5177,1879-3193,34184,12.4,Q1,2.95,21.66
2024,WOS,MANAGEMENT,SSCI,JOURNAL OF STRATEGIC INFORMATION SYSTEMS,J STRATEGIC INF SYST,ELSEVIER,0963-8687,1873-1198,4480,11.8,Q1,2.05,53.23
2024,WOS,MANAGEMENT,SSCI,Journal of Hospitality Marketing & Management,J HOSP MARKET MANAG,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1936-8623,1936-8631,4617,11,Q1,2.63,3.7
2024,WOS,MANAGEMENT,SSCI,TECHNOVATION,TECHNOVATION,ELSEVIER,0166-4972,1879-2383,12805,10.9,Q1,2.29,39.44
2024,WOS,MANAGEMENT,SSCI,INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS,INT J MANAG REV,WILEY,1460-8545,1468-2370,7239,10.8,Q1,1.44,60
2024,WOS,MANAGEMENT,SSCI,ACADEMY OF MANAGEMENT JOURNAL,ACAD MANAGE J,ACAD MANAGEMENT,0001-4273,1948-0989,47303,10.5,Q1,2.42,2.06
2024,WOS,MANAGEMENT,SSCI,JOURNAL OF OPERATIONS MANAGEMENT,J OPER MANAG,WILEY,0272-6963,1873-1317,11777,10.4,Q1,1.77,27.21
2024,WOS,MANAGEMENT,SSCI,Journal of Supply Chain Management,J SUPPLY CHAIN MANAG,WILEY,1523-2409,1745-493X,3677,9.9,Q1,2.4,40.48
2024,WOS,MANAGEMENT,SSCI,LEADERSHIP QUARTERLY,LEADERSHIP QUART,ELSEVIER SCIENCE INC,1048-9843,1873-3409,14229,9.7,Q1,2.9,19.69
2024,WOS,MANAGEMENT,SSCI,Review of Managerial Science,REV MANAG SCI,SPRINGER HEIDELBERG,1863-6683,1863-6691,4697,9.6,Q1,1.58,62.91
2024,WOS,MANAGEMENT,SSCI,Journal of Knowledge Management,J KNOWL MANAG,EMERALD GROUP PUBLISHING LTD,1367-3270,1758-7484,10791,9.5,Q1,2.08,6.8
2024,WOS,MANAGEMENT,SSCI,Corporate Social Responsibility and Environmental Management,CORP SOC RESP ENV MA,WILEY,1535-3958,1535-3966,15559,9.1,Q1,1.98,26.7
2024,WOS,MANAGEMENT,ESCI,Management Review Quarterly,MANAG REV Q,SPRINGERNATURE,2198-1620,2198-1639,2206,9,Q1,2.41,49.42
