jcr_year,schema,category,edition,journal_name,jcr_abbrev,publisher,issn_print,issn_e,total_citations,jif,quartile,jci,oa_citable_pct
2024,WOS,PSYCHOLOGY,SCIE,Annual Review of Psychology,ANNU REV PSYCHOL,ANNUAL REVIEWS,0066-4308,1545-2085,29863,29.4,Q1,5.32,61.33
2024,WOS,PSYCHOLOGY,SCIE,PSYCHOLOGICAL BULLETIN,PSYCHOL BULL,AMER PSYCHOLOGICAL ASSOC,0033-2909,1939-1455,59903,19.8,Q1,4.1,34.38
2024,WOS,PSYCHOLOGY,SCIE,PSYCHOTHERAPY AND PSYCHOSOMATICS,PSYCHOTHER PSYCHOSOM,KARGER,0033-3190,1423-0348,6466,18.1,Q1,2.81,33.78
2024,WOS,PSYCHOLOGY,SCIE,Annual Review of Clinical Psychology,ANNU REV CLIN PSYCHO,ANNUAL REVIEWS,1548-5943,1548-5951,10094,16.5,Q1,4.45,56.67
2024,WOS,PSYCHOLOGY,SCIE,Advances in Methods and Practices in Psychological Science,ADV METH PRACT PSYCH,SAGE PUBLICATIONS INC,2515-2459,2515-2467,3656,13.4,Q1,5.46,98.88
2024,WOS,"PSYCHOLOGY, SOCIAL",SSCI,PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,PERS SOC PSYCHOL REV,SAGE PUBLICATIONS INC,1088-8683,1532-7957,8781,10.4,Q1,2.83,38
2024,WOS,"PSYCHOLOGY, SOCIAL",SSCI,European Review of Social Psychology,EUR REV SOC PSYCHOL,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1046-3283,1479-277X,2846,7.8,Q1,3.23,37.14
2024,WOS,PSYCHOLOGY,SCIE,JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,J CHILD PSYCHOL PSYC,WILEY,0021-9630,1469-7610,22546,7,Q1,1.79,58.84
2024,WOS,"PSYCHOLOGY, SOCIAL",SSCI,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,J PERS SOC PSYCHOL,AMER PSYCHOLOGICAL ASSOC,0022-3514,1939-1315,81673,6.7,Q1,2.49,20.4
2024,WOS,PSYCHOLOGY,SCIE,PSYCHOLOGICAL REVIEW,PSYCHOL REV,AMER PSYCHOLOGICAL ASSOC,0033-295X,1939-1471,32225,5.8,Q1,1.98,45.05
2024,WOS,"PSYCHOLOGY, SOCIAL",SSCI,Social Issues and Policy Review,SOC ISS POLICY REV,WILEY,1751-2395,1751-2409,1423,5.6,Q1,2.33,25
2024,WOS,PSYCHOLOGY,SCIE,PSYCHOLOGICAL MEDICINE,PSYCHOL MED,CAMBRIDGE UNIV PRESS,0033-2917,1469-8978,36435,5.5,Q1,1.97,61.07
2024,WOS,"PSYCHOLOGY, SOCIAL",SSCI,JOURNAL OF SOCIAL ISSUES,J SOC ISSUES,WILEY,0022-4537,1540-4560,10354,4.7,Q1,1.51,36.99
2024,WOS,PSYCHOLOGY,SCIE,INTERNATIONAL PSYCHOGERIATRICS,INT PSYCHOGERIATR,ELSEVIER,1041-6102,1741-203X,8793,4.3,Q1,1.29,100
2024,WOS,PSYCHOLOGY,SCIE,INTERNATIONAL JOURNAL OF EATING DISORDERS,INT J EAT DISORDER,WILEY,0276-3478,1098-108X,13255,4.3,Q1,1.23,41.07
2024,WOS,PSYCHOLOGY,SCIE,Clinical Psychological Science,CLIN PSYCHOL SCI,SAGE PUBLICATIONS INC,2167-7026,2167-7034,4923,4.1,Q1,1.46,23.4
2024,WOS,PSYCHOLOGY,SCIE,Psychology of Sexual Orientation and Gender Diversity,PSYCHOL SEX ORIENTAT,AMER PSYCHOLOGICAL ASSOC,2329-0382,2329-0390,3221,3.9,Q1,1.38,23.21
2024,WOS,"PSYCHOLOGY, SOCIAL",SSCI,Cyberpsychology Behavior and Social Networking,CYBERPSYCH BEH SOC N,"MARY ANN LIEBERT, INC",2152-2715,2152-2723,7838,3.9,Q1,1.32,4.92
2024,WOS,"PSYCHOLOGY, SOCIAL",SSCI,ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES,ORGAN BEHAV HUM DEC,ACADEMIC PRESS INC ELSEVIER SCIENCE,0749-5978,1095-9920,16370,3.8,Q1,1.08,20
