jcr_year,schema,category,edition,journal_name,jcr_abbrev,publisher,issn_print,issn_e,total_citations,jif,quartile,jci,oa_citable_pct
2024,WOS,PUBLIC ADMINISTRATION,SSCI,JOURNAL OF PUBLIC ADMINISTRATION RESEARCH AND THEORY,J PUBL ADM RES THEOR,OXFORD UNIV PRESS,1053-1858,1477-9803,7664,6.3,Q1,2.34,26.92
2024,WOS,PUBLIC ADMINISTRATION,SSCI,Policy and Society,POLICY SOC,OXFORD UNIV PRESS,1449-4035,1839-3373,2301,6.1,Q1,2.63,99.08
2024,WOS,PUBLIC ADMINISTRATION,SSCI,CLIMATE POLICY,CLIM POLICY,TAYLOR & FRANCIS LTD,1469-3062,1752-7457,6353,5.2,Q1,1.66,34.74
2024,WOS,PUBLIC ADMINISTRATION,SSCI,PUBLIC ADMINISTRATION,PUBLIC ADMIN,WILEY,0033-3298,1467-9299,5829,5.1,Q1,1.99,56.19
2024,WOS,PUBLIC ADMINISTRATION,SSCI,POLICY STUDIES JOURNAL,POLICY STUD J,WILEY,0190-292X,1541-0072,3906,4.9,Q1,2.19,40.91
2024,WOS,PUBLIC ADMINISTRATION,SSCI,PUBLIC ADMINISTRATION REVIEW,PUBLIC ADMIN REV,WILEY,0033-3352,1540-6210,13272,4.9,Q1,2.05,37.75
2024,WOS,PUBLIC ADMINISTRATION,SSCI,Public Management Review,PUBLIC MANAG REV,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1471-9037,1471-9045,8033,4.9,Q1,1.44,29.41
2024,WOS,PUBLIC ADMINISTRATION,ESCI,Earth System Governance,EARTH SYST GOV-NETH,ELSEVIER,2589-8116,2589-8116,797,4.6,Q1,2.01,100
2024,WOS,PUBLIC ADMINISTRATION,SSCI,JOURNAL OF EUROPEAN PUBLIC POLICY,J EUR PUBLIC POLICY,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1350-1763,1466-4429,7667,4.5,Q1,2.21,59.07
2024,WOS,PUBLIC ADMINISTRATION,SSCI,Regulation & Governance,REGUL GOV,WILEY,1748-5983,1748-5991,2310,3.8,Q1,2.55,71.27
2024,WOS,PUBLIC ADMINISTRATION,SSCI,POLICY SCIENCES,POLICY SCI,SPRINGER,0032-2687,1573-0891,3336,3.7,Q1,1.68,56.6
2024,WOS,PUBLIC ADMINISTRATION,SSCI,Journal of Chinese Governance,J CHIN GOV,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2381-2346,2381-2354,493,3.7,Q1,1.23,6.12
2024,WOS,PUBLIC ADMINISTRATION,ESCI,Perspectives on Public Management and Governance,PERSPECT PUBLIC MAN,OXFORD UNIV PRESS,2398-4910,2398-4929,616,3.7,Q1,1.17,14.29
2024,WOS,PUBLIC ADMINISTRATION,SSCI,Review of Policy Research,REV POLICY RES,WILEY,1541-132X,1541-1338,1570,3.2,Q1,1.35,38.36
2024,WOS,PUBLIC ADMINISTRATION,SSCI,Public Policy and Administration,PUBLIC POLICY ADMIN,SAGE PUBLICATIONS LTD,0952-0767,1749-4192,1124,3.2,Q1,1.24,41.86
2024,WOS,PUBLIC ADMINISTRATION,SSCI,JOURNAL OF EUROPEAN SOCIAL POLICY,J EUR SOC POLICY,SAGE PUBLICATIONS LTD,0958-9287,1461-7269,2333,3.2,Q1,1.04,49.57
2024,WOS,PUBLIC ADMINISTRATION,SSCI,POLICY AND POLITICS,POLICY POLIT,POLICY PRESS,0305-5736,1470-8442,1909,3.1,Q1,1.79,17.24
2024,WOS,PUBLIC ADMINISTRATION,ESCI,Behavioural Public Policy,BEHAV PUBLIC POLICY,CAMBRIDGE UNIV PRESS,2398-063X,2398-0648,1110,3.1,Q1,1.61,61.29
2024,WOS,PUBLIC ADMINISTRATION,SSCI,Review of Public Personnel Administration,REV PUBLIC PERS ADM,SAGE PUBLICATIONS INC,0734-371X,1552-759X,1817,3.1,Q1,1.25,21.57
2024,WOS,PUBLIC ADMINISTRATION,SSCI,GOVERNANCE-AN INTERNATIONAL JOURNAL OF POLICY ADMINISTRATION AND INSTITUTIONS,GOVERNANCE,WILEY,0952-1895,1468-0491,3539,3.1,Q1,1.2,54.59
2024,WOS,PUBLIC ADMINISTRATION,SSCI,International Public Management Journal,INT PUBLIC MANAG J,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1096-7494,1559-3169,1789,3,Q1,0.89,24.17
2024,WOS,PUBLIC ADMINISTRATION,ESCI,European Policy Analysis,EUR POLICY ANAL,WILEY,,2380-6567,493,2.9,Q1,1.48,65.33
2024,WOS,PUBLIC ADMINISTRATION,SSCI,Public Performance & Management Review,PUBLIC PERFORM MANAG,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1530-9576,1557-9271,1893,2.8,Q2,1.15,11.24
2024,WOS,PUBLIC ADMINISTRATION,ESCI,Data & Policy,DATA POLICY,CAMBRIDGE UNIV PRESS,,2632-3249,387,2.7,Q2,0.92,100
2024,WOS,PUBLIC ADMINISTRATION,ESCI,Policy Design and Practice,POLICY DES PRACT,TAYLOR & FRANCIS LTD,,2574-1292,772,2.6,Q2,1.47,98.73
2024,WOS,PUBLIC ADMINISTRATION,SSCI,PUBLIC PERSONNEL MANAGEMENT,PUBLIC PERS MANAGE,SAGE PUBLICATIONS INC,0091-0260,1945-7421,1276,2.6,Q2,1.11,21.62
2024,WOS,PUBLIC ADMINISTRATION,SSCI,INTERNATIONAL REVIEW OF ADMINISTRATIVE SCIENCES,INT REV ADM SCI,SAGE PUBLICATIONS LTD,0020-8523,1461-7226,2412,2.6,Q2,1.09,23.76
2024,WOS,PUBLIC ADMINISTRATION,SSCI,JOURNAL OF SOCIAL POLICY,J SOC POLICY,CAMBRIDGE UNIV PRESS,0047-2794,1469-7823,2536,2.6,Q2,1.05,72.16
2024,WOS,PUBLIC ADMINISTRATION,SSCI,JOURNAL OF POLICY ANALYSIS AND MANAGEMENT,J POLICY ANAL MANAG,WILEY,,1520-6688,3075,2.6,Q2,0.98,27.45
2024,WOS,PUBLIC ADMINISTRATION,SSCI,AMERICAN REVIEW OF PUBLIC ADMINISTRATION,AM REV PUBLIC ADM,SAGE PUBLICATIONS INC,0275-0740,1552-3357,2999,2.5,Q2,1.01,12.75
2024,WOS,PUBLIC ADMINISTRATION,ESCI,Journal of Public Budgeting Accounting & Financial Management,J PUBLIC BUDGET ACC,EMERALD GROUP PUBLISHING LTD,1096-3367,1945-1814,935,2.5,Q2,0.96,27.5
2024,WOS,PUBLIC ADMINISTRATION,ESCI,International Journal of Public Sector Management,INT J PUBLIC SECT MA,EMERALD GROUP PUBLISHING LTD,0951-3558,1758-6666,1775,2.5,Q2,0.77,20
2024,WOS,PUBLIC ADMINISTRATION,SSCI,Critical Policy Studies,CRIT POLICY STUD,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1946-0171,1946-018X,1138,2.4,Q2,0.95,40.59
2024,WOS,PUBLIC ADMINISTRATION,SSCI,Policy Studies,POLICY STUD-UK,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0144-2872,1470-1006,1317,2.3,Q2,1.07,33.11
2024,WOS,PUBLIC ADMINISTRATION,SSCI,ADMINISTRATION & SOCIETY,ADMIN SOC,SAGE PUBLICATIONS INC,0095-3997,1552-3039,2779,2.3,Q2,1.03,25.33
2024,WOS,PUBLIC ADMINISTRATION,ESCI,Journal of Public Procurement,J PUBLIC PROCUR,EMERALD GROUP PUBLISHING LTD,1535-0118,2150-6930,519,2.3,Q2,0.87,18.18
2024,WOS,PUBLIC ADMINISTRATION,SSCI,Science and Public Policy,SCI PUBL POLICY,OXFORD UNIV PRESS,0302-3427,1471-5430,3140,2.3,Q2,0.74,39.26
2024,WOS,PUBLIC ADMINISTRATION,SSCI,SOCIAL POLICY & ADMINISTRATION,SOC POLICY ADMIN,WILEY,0144-5596,1467-9515,2616,2.2,Q2,1.09,66.12
2024,WOS,PUBLIC ADMINISTRATION,ESCI,Global Public Policy and Governance,GLOB PUBLIC POLICY G,SPRINGERNATURE,2730-6291,2730-6305,185,2.2,Q2,0.98,23.33
2024,WOS,PUBLIC ADMINISTRATION,SSCI,JOURNAL OF ACCOUNTING AND PUBLIC POLICY,J ACCOUNT PUBLIC POL,ELSEVIER SCIENCE INC,0278-4254,1873-2070,3943,2.2,Q2,0.9,13.79
2024,WOS,PUBLIC ADMINISTRATION,SSCI,Environment and Planning C-Politics and Space,ENVIRON PLAN C-POLIT,SAGE PUBLICATIONS LTD,2399-6544,2399-6552,3544,2.2,Q2,0.62,43.01
