jcr_year,schema,category,edition,journal_name,jcr_abbrev,publisher,issn_print,issn_e,total_citations,jif,quartile,jci,oa_citable_pct
2024,WOS,URBAN STUDIES,SSCI,LANDSCAPE AND URBAN PLANNING,LANDSCAPE URBAN PLAN,ELSEVIER,0169-2046,1872-6062,32710,9.2,Q1,2.4,40.92
2024,WOS,URBAN STUDIES,SSCI,npj Urban Sustainability,NPJ URBAN SUSTAIN,SPRINGERNATURE,,2661-8001,1371,8.8,Q1,2.29,100
2024,WOS,URBAN STUDIES,SSCI,HABITAT INTERNATIONAL,HABITAT INT,PERGAMON-ELSEVIER SCIENCE LTD,0197-3975,1873-5428,12035,7,Q1,1.71,20.13
2024,WOS,URBAN STUDIES,SSCI,URBAN FORESTRY & URBAN GREENING,URBAN FOR URBAN GREE,ELSEVIER GMBH,1618-8667,1610-8167,20098,6.7,Q1,1.88,31.16
2024,WOS,URBAN STUDIES,SSCI,CITIES,CITIES,ELSEVIER SCI LTD,0264-2751,1873-6084,24866,6.6,Q1,1.96,31.46
2024,WOS,URBAN STUDIES,ESCI,Smart Cities,SMART CITIES-BASEL,MDPI,,2624-6511,2952,5.5,Q1,1.57,100
2024,WOS,URBAN STUDIES,SSCI,JOURNAL OF PLANNING LITERATURE,J PLAN LIT,SAGE PUBLICATIONS INC,0885-4122,1552-6593,1849,5.2,Q1,0.93,31.75
2024,WOS,URBAN STUDIES,ESCI,Journal of Urban Management,J URBAN MANAG,ELSEVIER,2226-5856,2589-0360,1134,5,Q1,1.53,99.19
2024,WOS,URBAN STUDIES,SSCI,JOURNAL OF URBAN ECONOMICS,J URBAN ECON,ACADEMIC PRESS INC ELSEVIER SCIENCE,0094-1190,1095-9068,7274,4.8,Q1,1.79,30.06
2024,WOS,URBAN STUDIES,SSCI,JOURNAL OF URBAN TECHNOLOGY,J URBAN TECHNOL,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1063-0732,1466-1853,1780,4.4,Q1,0.91,24.29
2024,WOS,URBAN STUDIES,SSCI,URBAN STUDIES,URBAN STUD,SAGE PUBLICATIONS LTD,0042-0980,1360-063X,16324,4.1,Q1,1.05,42.4
2024,WOS,URBAN STUDIES,SSCI,JOURNAL OF THE AMERICAN PLANNING ASSOCIATION,J AM PLANN ASSOC,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0194-4363,1939-0130,5535,3.4,Q1,0.78,31.78
2024,WOS,URBAN STUDIES,SSCI,EUROPEAN PLANNING STUDIES,EUR PLAN STUD,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0965-4313,1469-5944,5819,3.2,Q1,0.75,37.92
2024,WOS,URBAN STUDIES,SSCI,Planning Theory & Practice,PLAN THEORY PRACT,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1464-9357,1470-000X,1677,3.2,Q1,0.55,40.28
