jcr_year,schema,category,edition,journal_name,jcr_abbrev,publisher,issn_print,issn_e,total_citations,jif,quartile,jci,oa_citable_pct
2024,WOS,WOMENS STUDIES,SSCI,Politics & Gender,POLIT GENDER,CAMBRIDGE UNIV PRESS,1743-923X,1743-9248,2194,3.5,Q1,1.53,54.17
2024,WOS,WOMENS STUDIES,SSCI,GENDER & SOCIETY,GENDER SOC,SAGE PUBLICATIONS INC,0891-2432,1552-3977,7172,3.4,Q1,3.07,31.18
2024,WOS,WOMENS STUDIES,SSCI,SEX ROLES,SEX ROLES,SPRINGER/PLENUM PUBLISHERS,0360-0025,1573-2762,10949,3.4,Q1,1.44,33.58
2024,WOS,WOMENS STUDIES,SSCI,PSYCHOLOGY OF WOMEN QUARTERLY,PSYCHOL WOMEN QUART,SAGE PUBLICATIONS LTD,0361-6843,1471-6402,5165,3,Q1,1.49,16.49
2024,WOS,WOMENS STUDIES,SSCI,GENDER WORK AND ORGANIZATION,GENDER WORK ORGAN,WILEY,0968-6673,1468-0432,5544,3,Q1,1.39,62.26
2024,WOS,WOMENS STUDIES,SSCI,Gender in Management,GEND MANAG,EMERALD GROUP PUBLISHING LTD,1754-2413,1754-2421,2244,2.6,Q1,0.86,9.66
2024,WOS,WOMENS STUDIES,SSCI,WOMENS HEALTH ISSUES,WOMEN HEALTH ISS,ELSEVIER SCIENCE INC,1049-3867,1878-4321,3221,2.5,Q1,1.18,11.22
2024,WOS,WOMENS STUDIES,ESCI,Frontiers in Global Womens Health,FRONT GLOB WOMEN HLT,FRONTIERS MEDIA SA,,2673-5059,1277,2.4,Q1,0.94,99.8
2024,WOS,WOMENS STUDIES,ESCI,European Journal of Politics and Gender,EUR J POLIT GENDER,BRISTOL UNIV PRESS & POLICY PRESS,2515-1088,2515-1096,479,2.3,Q1,1.21,15.65
2024,WOS,WOMENS STUDIES,ESCI,Feminist Anthropology,FEM ANTHROPOL,WILEY,2643-7961,2643-7961,259,2.2,Q1,1.44,35.53
2024,WOS,WOMENS STUDIES,ESCI,Equality Diversity and Inclusion,EQUAL DIVERS INCL,EMERALD GROUP PUBLISHING LTD,2040-7149,2040-7157,1842,2.2,Q1,0.76,8.37
2024,WOS,WOMENS STUDIES,SSCI,FRONTIERS-A JOURNAL OF WOMEN STUDIES,FRONTIERS,UNIV NEBRASKA PRESS,0160-9009,1536-0334,749,2.1,Q1,0.15,0
2024,WOS,WOMENS STUDIES,SSCI,FEMINIST ECONOMICS,FEM ECON,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1354-5701,1466-4372,2407,2,Q1,1.32,18.18
2024,WOS,WOMENS STUDIES,SSCI,WOMENS STUDIES INTERNATIONAL FORUM,WOMEN STUD INT FORUM,PERGAMON-ELSEVIER SCIENCE LTD,0277-5395,1879-243X,3010,1.9,Q1,1.27,33.04
2024,WOS,WOMENS STUDIES,SSCI,LGBTQ Family-An Interdisciplinary Journal,LGBTQ FAM,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2770-3371,2770-338X,145,1.9,Q1,1.13,19.42
2024,WOS,WOMENS STUDIES,SSCI,SIGNS,SIGNS,UNIV CHICAGO PRESS,0097-9740,1545-6943,5527,1.9,Q1,1.07,0.96
2024,WOS,WOMENS STUDIES,SSCI,FEMINISM & PSYCHOLOGY,FEM PSYCHOL,SAGE PUBLICATIONS LTD,0959-3535,1461-7161,1750,1.9,Q1,1.05,40.86
2024,WOS,WOMENS STUDIES,SSCI,JOURNAL OF WOMENS HEALTH,J WOMENS HEALTH,"MARY ANN LIEBERT, INC",1540-9996,1931-843X,8216,1.9,Q1,0.99,4.19
2024,WOS,WOMENS STUDIES,SSCI,International Feminist Journal of Politics,INT FEM J POLIT,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1461-6742,1468-4470,1459,1.9,Q1,0.96,40.22
2024,WOS,WOMENS STUDIES,SSCI,Affilia-Feminist Inquiry in Social Work,AFFILIA,SAGE PUBLICATIONS INC,0886-1099,1552-3020,1276,1.8,Q2,1.25,25.89
2024,WOS,WOMENS STUDIES,SSCI,EUROPEAN JOURNAL OF WOMENS STUDIES,EUR J WOMENS STUD,SAGE PUBLICATIONS LTD,1350-5068,1461-7420,1261,1.8,Q2,0.92,31.11
2024,WOS,WOMENS STUDIES,SSCI,SOCIAL POLITICS,SOC POLIT,OXFORD UNIV PRESS,1072-4745,1468-2893,1570,1.8,Q2,0.88,35
2024,WOS,WOMENS STUDIES,SSCI,VIOLENCE AGAINST WOMEN,VIOLENCE AGAINST WOM,SAGE PUBLICATIONS INC,1077-8012,1552-8448,6487,1.7,Q2,1.05,28.86
2024,WOS,WOMENS STUDIES,SSCI,Feminist Media Studies,FEM MEDIA STUD,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1468-0777,1471-5902,3405,1.7,Q2,0.87,23.6
2024,WOS,WOMENS STUDIES,SSCI,FEMINIST REVIEW,FEMINIST REV,SAGE PUBLICATIONS LTD,0141-7789,1466-4380,1479,1.7,Q2,0.83,36.21
2024,WOS,WOMENS STUDIES,SSCI,Hypatia-A Journal of Feminist Philosophy,HYPATIA,CAMBRIDGE UNIV PRESS,0887-5367,1527-2001,3533,1.6,Q2,1.5,52.73
2024,WOS,WOMENS STUDIES,ESCI,Women,WOMEN-BASEL,MDPI,,2673-4184,153,1.6,Q2,0.59,100
